=== MATCH SCHEDULE FOR BMD ===
BMD2   | 12:00 noon - 12:30 PM | Court 1
BMD3   | 12:00 noon - 12:30 PM | Court 2
BMD4   | 12:00 noon - 12:30 PM | Court 3
BMD6   | 12:00 noon - 12:30 PM | Court 4
BMD7   | 12:00 noon - 12:30 PM | Court 5
BMD8   | 12:00 noon - 12:30 PM | Court 6
BMD9   | 12:00 noon - 12:30 PM | Court 7
BMD10  | 12:00 noon - 12:30 PM | Court 8
BMD11  | 12:00 noon - 12:30 PM | Court 9
BMD12  | 12:00 noon - 12:30 PM | Court 10
BMD13  | 12:30 PM - 01:00 PM | Court 11
BMD14  | 12:30 PM - 01:00 PM | Court 12
BMD15  | 12:30 PM - 01:00 PM | Court 13
BMD17  | 01:30 PM - 02:00 PM | Court 1
BMD18  | 01:30 PM - 02:00 PM | Court 2
BMD19  | 01:30 PM - 02:00 PM | Court 3
BMD20  | 01:30 PM - 02:00 PM | Court 4
BMD21  | 01:30 PM - 02:00 PM | Court 5
BMD22  | 01:30 PM - 02:00 PM | Court 6
BMD23  | 01:30 PM - 02:00 PM | Court 7
BMD24  | 01:30 PM - 02:00 PM | Court 8
BMD25  | 02:50 PM - 03:20 PM | Court 4
BMD26  | 02:50 PM - 03:20 PM | Court 5
BMD27  | 02:50 PM - 03:20 PM | Court 6
BMD28  | 02:50 PM - 03:20 PM | Court 7
BMD29  | 04:00 PM - 04:30 PM | Court 10
BMD30  | 04:10 PM - 04:40 PM | Court 13
BMD31  | 04:50 PM - 05:20 PM | Court 3
BMD33  | 03:40 PM - 03:50 PM | Court 8
BMD35  | 03:40 PM - 03:50 PM | Court 9
BMD36  | 03:40 PM - 03:50 PM | Court 10
BMD37  | 03:50 PM - 04:00 PM | Court 15
BMD38  | 03:50 PM - 04:00 PM | Court 16
BMD40  | 03:50 PM - 04:00 PM | Court 17
BMD42  | 03:50 PM - 04:00 PM | Court 17
BMD47  | 03:50 PM - 04:00 PM | Court 11
BMD48  | 04:10 PM - 04:20 PM | Court 15
BMD49  | 04:10 PM - 04:20 PM | Court 16
BMD50  | 04:10 PM - 04:20 PM | Court 17
BMD51  | 04:10 PM - 04:20 PM | Court 17
BMD52  | 04:30 PM - 04:40 PM | Court 7
BMD53  | 04:30 PM - 04:40 PM | Court 8
BMD54  | 04:50 PM - 05:20 PM | Court 4
