=== MATCH SCHEDULE FOR BMS ===
BMS2   | 02:00 PM - 02:30 PM | Court 4
BMS4   | 02:00 PM - 02:30 PM | Court 5
BMS6   | 02:00 PM - 02:30 PM | Court 6
BMS7   | 02:00 PM - 02:30 PM | Court 7
BMS8   | 02:00 PM - 02:30 PM | Court 8
BMS9   | 02:00 PM - 02:30 PM | Court 9
BMS10  | 02:00 PM - 02:30 PM | Court 10
BMS11  | 02:30 PM - 03:00 PM | Court 11
BMS13  | 02:30 PM - 03:00 PM | Court 12
BMS14  | 02:30 PM - 03:00 PM | Court 13
BMS15  | 02:30 PM - 03:00 PM | Court 14
BMS17  | 04:30 PM - 05:00 PM | Court 2
BMS18  | 04:30 PM - 05:00 PM | Court 3
BMS19  | 04:30 PM - 05:00 PM | Court 4
BMS20  | 04:30 PM - 05:00 PM | Court 5
BMS21  | 04:30 PM - 05:00 PM | Court 6
BMS22  | 04:30 PM - 05:00 PM | Court 7
BMS23  | 04:30 PM - 05:00 PM | Court 8
BMS24  | 04:30 PM - 05:00 PM | Court 9
BMS25  | 06:40 PM - 07:10 PM | Court 11
BMS26  | 06:40 PM - 07:10 PM | Court 12
BMS27  | 06:40 PM - 07:10 PM | Court 13
BMS28  | 06:40 PM - 07:10 PM | Court 14
BMS29  | 08:50 PM - 09:20 PM | Court 12
BMS30  | 08:50 PM - 09:20 PM | Court 13
BMS31  | 09:50 PM - 10:20 PM | Court 3
BMS35  | 08:10 PM - 08:20 PM | Court 16
BMS36  | 08:10 PM - 08:20 PM | Court 17
BMS38  | 08:10 PM - 08:20 PM | Court 17
BMS40  | 08:10 PM - 08:20 PM | Court 11
BMS41  | 08:10 PM - 08:20 PM | Court 14
BMS42  | 08:10 PM - 08:20 PM | Court 2
BMS45  | 08:10 PM - 08:20 PM | Court 3
BMS47  | 08:10 PM - 08:20 PM | Court 8
BMS48  | 08:50 PM - 09:00 PM | Court 15
BMS49  | 08:50 PM - 09:00 PM | Court 16
BMS50  | 08:50 PM - 09:00 PM | Court 17
BMS51  | 08:50 PM - 09:00 PM | Court 14
BMS52  | 09:30 PM - 09:40 PM | Court 9
BMS53  | 09:30 PM - 09:40 PM | Court 10
BMS54  | 09:50 PM - 10:20 PM | Court 4
