=== MATCH SCHEDULE FOR BXD ===
BXD4   | 03:30 PM - 04:00 PM | Court 9
BXD6   | 03:30 PM - 04:00 PM | Court 10
BXD8   | 04:00 PM - 04:30 PM | Court 11
BXD9   | 04:00 PM - 04:30 PM | Court 12
BXD11  | 04:00 PM - 04:30 PM | Court 13
BXD13  | 04:00 PM - 04:30 PM | Court 14
BXD15  | 04:00 PM - 04:30 PM | Court 1
BXD17  | 05:30 PM - 06:00 PM | Court 7
BXD18  | 05:30 PM - 06:00 PM | Court 8
BXD19  | 05:30 PM - 06:00 PM | Court 9
BXD20  | 05:30 PM - 06:00 PM | Court 10
BXD21  | 06:00 PM - 06:30 PM | Court 11
BXD22  | 06:00 PM - 06:30 PM | Court 12
BXD23  | 06:00 PM - 06:30 PM | Court 13
BXD24  | 06:00 PM - 06:30 PM | Court 14
BXD25  | 07:50 PM - 08:20 PM | Court 4
BXD26  | 07:50 PM - 08:20 PM | Court 5
BXD27  | 07:50 PM - 08:20 PM | Court 6
BXD28  | 07:50 PM - 08:20 PM | Court 7
BXD29  | 09:20 PM - 09:50 PM | Court 1
BXD30  | 09:20 PM - 09:50 PM | Court 4
BXD31  | 10:20 PM - 10:50 PM | Court 12
BXD41  | 08:30 PM - 08:40 PM | Court 14
BXD42  | 08:30 PM - 08:40 PM | Court 2
BXD43  | 08:30 PM - 08:40 PM | Court 3
BXD44  | 08:30 PM - 08:40 PM | Court 4
BXD45  | 08:30 PM - 08:40 PM | Court 5
BXD46  | 08:30 PM - 08:40 PM | Court 6
BXD47  | 08:30 PM - 08:40 PM | Court 7
BXD48  | 09:20 PM - 09:30 PM | Court 5
BXD49  | 09:20 PM - 09:30 PM | Court 6
BXD50  | 09:20 PM - 09:30 PM | Court 7
BXD51  | 09:20 PM - 09:30 PM | Court 10
BXD52  | 09:40 PM - 09:50 PM | Court 5
BXD53  | 09:40 PM - 09:50 PM | Court 6
BXD54  | 10:20 PM - 10:50 PM | Court 13
