=== MATCH SCHEDULE FOR CMD ===
CMD2   | 09:30 AM - 10:00 AM | Court 6
CMD3   | 10:00 AM - 10:30 AM | Court 1
CMD4   | 10:00 AM - 10:30 AM | Court 2
CMD6   | 10:00 AM - 10:30 AM | Court 3
CMD7   | 10:00 AM - 10:30 AM | Court 4
CMD8   | 10:00 AM - 10:30 AM | Court 5
CMD10  | 10:00 AM - 10:30 AM | Court 6
CMD11  | 10:30 AM - 11:00 AM | Court 1
CMD12  | 10:30 AM - 11:00 AM | Court 2
CMD14  | 10:30 AM - 11:00 AM | Court 3
CMD15  | 10:30 AM - 11:00 AM | Court 4
CMD16  | 10:30 AM - 11:00 AM | Court 5
CMD17  | 10:30 AM - 11:00 AM | Court 6
CMD18  | 11:00 AM - 11:30 AM | Court 15
CMD19  | 11:00 AM - 11:30 AM | Court 16
CMD20  | 11:00 AM - 11:30 AM | Court 17
CMD21  | 11:00 AM - 11:30 AM | Court 17
CMD22  | 11:00 AM - 11:30 AM | Court 11
CMD23  | 11:00 AM - 11:30 AM | Court 12
CMD25  | 11:00 AM - 11:30 AM | Court 13
CMD26  | 11:00 AM - 11:30 AM | Court 14
CMD27  | 11:00 AM - 11:30 AM | Court 1
CMD29  | 11:00 AM - 11:30 AM | Court 2
CMD30  | 11:00 AM - 11:30 AM | Court 3
CMD31  | 11:00 AM - 11:30 AM | Court 4
CMD33  | 12:30 PM - 01:00 PM | Court 15
CMD34  | 12:30 PM - 01:00 PM | Court 16
CMD35  | 12:30 PM - 01:00 PM | Court 17
CMD36  | 12:30 PM - 01:00 PM | Court 17
CMD37  | 12:30 PM - 01:00 PM | Court 14
CMD38  | 12:30 PM - 01:00 PM | Court 1
CMD39  | 12:30 PM - 01:00 PM | Court 2
CMD40  | 12:30 PM - 01:00 PM | Court 3
CMD41  | 12:30 PM - 01:00 PM | Court 4
CMD42  | 12:30 PM - 01:00 PM | Court 5
CMD43  | 12:30 PM - 01:00 PM | Court 6
CMD44  | 12:30 PM - 01:00 PM | Court 7
CMD45  | 12:30 PM - 01:00 PM | Court 8
CMD46  | 12:30 PM - 01:00 PM | Court 9
CMD47  | 12:30 PM - 01:00 PM | Court 10
CMD48  | 01:00 PM - 01:30 PM | Court 15
CMD49  | 01:30 PM - 02:00 PM | Court 9
CMD50  | 01:30 PM - 02:00 PM | Court 10
CMD51  | 02:00 PM - 02:30 PM | Court 15
CMD52  | 02:00 PM - 02:30 PM | Court 16
CMD53  | 02:00 PM - 02:30 PM | Court 17
CMD54  | 02:00 PM - 02:30 PM | Court 17
CMD55  | 02:00 PM - 02:30 PM | Court 11
CMD56  | 02:00 PM - 02:30 PM | Court 12
CMD57  | 02:50 PM - 03:20 PM | Court 8
CMD58  | 03:00 PM - 03:30 PM | Court 15
CMD59  | 03:00 PM - 03:30 PM | Court 16
CMD60  | 03:00 PM - 03:30 PM | Court 17
CMD61  | 04:10 PM - 04:40 PM | Court 14
CMD62  | 04:10 PM - 04:40 PM | Court 2
CMD63  | 04:50 PM - 05:20 PM | Court 16
CMD65  | 03:00 PM - 03:10 PM | Court 17
CMD67  | 03:00 PM - 03:10 PM | Court 11
CMD69  | 03:00 PM - 03:10 PM | Court 12
CMD71  | 03:00 PM - 03:10 PM | Court 13
CMD72  | 03:00 PM - 03:10 PM | Court 14
CMD73  | 03:00 PM - 03:10 PM | Court 1
CMD74  | 03:10 PM - 03:20 PM | Court 17
CMD76  | 03:10 PM - 03:20 PM | Court 11
CMD78  | 03:10 PM - 03:20 PM | Court 12
CMD80  | 03:10 PM - 03:20 PM | Court 13
CMD82  | 03:10 PM - 03:20 PM | Court 14
CMD84  | 03:10 PM - 03:20 PM | Court 1
CMD86  | 03:10 PM - 03:20 PM | Court 9
CMD91  | 03:10 PM - 03:20 PM | Court 10
CMD93  | 03:20 PM - 03:30 PM | Court 17
CMD95  | 03:20 PM - 03:30 PM | Court 11
CMD96  | 03:50 PM - 04:00 PM | Court 12
CMD97  | 03:50 PM - 04:00 PM | Court 13
CMD98  | 03:50 PM - 04:00 PM | Court 14
CMD99  | 03:50 PM - 04:00 PM | Court 1
CMD100 | 03:50 PM - 04:00 PM | Court 2
CMD101 | 03:50 PM - 04:00 PM | Court 3
CMD102 | 03:50 PM - 04:00 PM | Court 4
CMD103 | 03:50 PM - 04:00 PM | Court 5
CMD104 | 04:10 PM - 04:20 PM | Court 3
CMD105 | 04:10 PM - 04:20 PM | Court 6
CMD106 | 04:10 PM - 04:20 PM | Court 7
CMD107 | 04:10 PM - 04:20 PM | Court 8
CMD108 | 04:30 PM - 04:40 PM | Court 10
CMD109 | 04:40 PM - 04:50 PM | Court 17
CMD110 | 05:00 PM - 05:30 PM | Court 11
