=== MATCH SCHEDULE FOR CMS ===
CMS32  | 08:00 AM - 08:30 AM | Court 1
CMS33  | 08:00 AM - 08:30 AM | Court 2
CMS34  | 08:00 AM - 08:30 AM | Court 3
CMS65  | 09:30 AM - 10:00 AM | Court 1
CMS66  | 09:30 AM - 10:00 AM | Court 2
CMS67  | 09:30 AM - 10:00 AM | Court 3
CMS68  | 09:30 AM - 10:00 AM | Court 4
CMS69  | 09:30 AM - 10:00 AM | Court 5
CMS70  | 09:30 AM - 10:00 AM | Court 6
CMS71  | 10:00 AM - 10:30 AM | Court 1
CMS72  | 10:00 AM - 10:30 AM | Court 2
CMS73  | 10:00 AM - 10:30 AM | Court 3
CMS74  | 10:00 AM - 10:30 AM | Court 4
CMS75  | 10:00 AM - 10:30 AM | Court 5
CMS76  | 10:00 AM - 10:30 AM | Court 6
CMS77  | 10:30 AM - 11:00 AM | Court 1
CMS78  | 10:30 AM - 11:00 AM | Court 2
CMS79  | 10:30 AM - 11:00 AM | Court 3
CMS80  | 10:30 AM - 11:00 AM | Court 4
CMS81  | 10:30 AM - 11:00 AM | Court 5
CMS82  | 10:30 AM - 11:00 AM | Court 6
CMS83  | 11:00 AM - 11:30 AM | Court 15
CMS84  | 11:00 AM - 11:30 AM | Court 16
CMS85  | 11:00 AM - 11:30 AM | Court 17
CMS86  | 11:00 AM - 11:30 AM | Court 17
CMS87  | 11:00 AM - 11:30 AM | Court 11
CMS88  | 11:00 AM - 11:30 AM | Court 12
CMS89  | 11:00 AM - 11:30 AM | Court 13
CMS90  | 11:00 AM - 11:30 AM | Court 14
CMS91  | 11:00 AM - 11:30 AM | Court 1
CMS92  | 11:00 AM - 11:30 AM | Court 2
CMS93  | 11:00 AM - 11:30 AM | Court 3
CMS94  | 11:00 AM - 11:30 AM | Court 4
CMS95  | 11:00 AM - 11:30 AM | Court 5
CMS96  | 11:00 AM - 11:30 AM | Court 6
CMS97  | 01:30 PM - 02:00 PM | Court 6
CMS98  | 01:30 PM - 02:00 PM | Court 7
CMS99  | 01:30 PM - 02:00 PM | Court 8
CMS100 | 01:30 PM - 02:00 PM | Court 9
CMS101 | 01:30 PM - 02:00 PM | Court 10
CMS102 | 02:00 PM - 02:30 PM | Court 15
CMS103 | 02:00 PM - 02:30 PM | Court 16
CMS104 | 02:00 PM - 02:30 PM | Court 17
CMS105 | 02:00 PM - 02:30 PM | Court 17
CMS106 | 02:00 PM - 02:30 PM | Court 11
CMS107 | 02:00 PM - 02:30 PM | Court 12
CMS108 | 02:00 PM - 02:30 PM | Court 13
CMS109 | 02:00 PM - 02:30 PM | Court 14
CMS110 | 02:00 PM - 02:30 PM | Court 1
CMS111 | 02:00 PM - 02:30 PM | Court 2
CMS112 | 02:00 PM - 02:30 PM | Court 3
CMS113 | 04:00 PM - 04:30 PM | Court 6
CMS114 | 04:00 PM - 04:30 PM | Court 7
CMS115 | 04:00 PM - 04:30 PM | Court 8
CMS116 | 04:00 PM - 04:30 PM | Court 9
CMS117 | 04:00 PM - 04:30 PM | Court 10
CMS118 | 04:30 PM - 05:00 PM | Court 15
CMS119 | 04:30 PM - 05:00 PM | Court 16
CMS120 | 04:30 PM - 05:00 PM | Court 17
CMS121 | 06:10 PM - 06:40 PM | Court 17
CMS122 | 06:10 PM - 06:40 PM | Court 4
CMS123 | 06:10 PM - 06:40 PM | Court 5
CMS124 | 06:10 PM - 06:40 PM | Court 6
CMS125 | 08:40 PM - 09:10 PM | Court 17
CMS126 | 08:40 PM - 09:10 PM | Court 11
CMS127 | 09:40 PM - 10:10 PM | Court 9
CMS144 | 06:00 PM - 06:10 PM | Court 15
CMS175 | 06:00 PM - 06:10 PM | Court 16
CMS192 | 06:10 PM - 06:20 PM | Court 7
CMS193 | 06:10 PM - 06:20 PM | Court 8
CMS194 | 06:10 PM - 06:20 PM | Court 9
CMS195 | 06:20 PM - 06:30 PM | Court 7
CMS196 | 06:20 PM - 06:30 PM | Court 8
CMS197 | 06:20 PM - 06:30 PM | Court 9
CMS198 | 06:30 PM - 06:40 PM | Court 11
CMS199 | 06:30 PM - 06:40 PM | Court 12
CMS200 | 06:30 PM - 06:40 PM | Court 13
CMS201 | 06:30 PM - 06:40 PM | Court 14
CMS202 | 06:30 PM - 06:40 PM | Court 1
CMS203 | 06:30 PM - 06:40 PM | Court 2
CMS204 | 06:30 PM - 06:40 PM | Court 3
CMS205 | 06:30 PM - 06:40 PM | Court 7
CMS206 | 06:30 PM - 06:40 PM | Court 8
CMS207 | 06:30 PM - 06:40 PM | Court 9
CMS208 | 08:00 PM - 08:10 PM | Court 14
CMS209 | 08:00 PM - 08:10 PM | Court 1
CMS210 | 08:00 PM - 08:10 PM | Court 2
CMS211 | 08:00 PM - 08:10 PM | Court 3
CMS212 | 08:00 PM - 08:10 PM | Court 8
CMS213 | 08:00 PM - 08:10 PM | Court 9
CMS214 | 08:00 PM - 08:10 PM | Court 10
CMS215 | 08:10 PM - 08:20 PM | Court 15
CMS216 | 08:40 PM - 08:50 PM | Court 12
CMS217 | 08:40 PM - 08:50 PM | Court 13
CMS218 | 08:40 PM - 08:50 PM | Court 14
CMS219 | 08:40 PM - 08:50 PM | Court 1
CMS220 | 09:30 PM - 09:40 PM | Court 13
CMS221 | 09:30 PM - 09:40 PM | Court 14
CMS222 | 09:50 PM - 10:20 PM | Court 13
