=== MATCH SCHEDULE FOR CWD ===
CWD2   | 01:00 PM - 01:30 PM | Court 16
CWD4   | 01:00 PM - 01:30 PM | Court 17
CWD6   | 01:00 PM - 01:30 PM | Court 17
CWD8   | 01:00 PM - 01:30 PM | Court 11
CWD9   | 01:00 PM - 01:30 PM | Court 12
CWD11  | 01:00 PM - 01:30 PM | Court 13
CWD13  | 01:00 PM - 01:30 PM | Court 14
CWD15  | 01:00 PM - 01:30 PM | Court 2
CWD17  | 02:00 PM - 02:30 PM | Court 13
CWD18  | 02:00 PM - 02:30 PM | Court 14
CWD19  | 02:00 PM - 02:30 PM | Court 9
CWD20  | 02:00 PM - 02:30 PM | Court 10
CWD21  | 02:30 PM - 03:00 PM | Court 15
CWD22  | 02:30 PM - 03:00 PM | Court 16
CWD23  | 02:30 PM - 03:00 PM | Court 17
CWD24  | 02:30 PM - 03:00 PM | Court 17
CWD25  | 03:20 PM - 03:50 PM | Court 12
CWD26  | 03:20 PM - 03:50 PM | Court 13
CWD27  | 03:20 PM - 03:50 PM | Court 14
CWD28  | 03:20 PM - 03:50 PM | Court 5
CWD29  | 04:20 PM - 04:50 PM | Court 15
CWD30  | 04:20 PM - 04:50 PM | Court 16
CWD31  | 05:00 PM - 05:30 PM | Court 15
CWD40  | 03:50 PM - 04:00 PM | Court 7
CWD41  | 03:50 PM - 04:00 PM | Court 8
CWD42  | 03:50 PM - 04:00 PM | Court 9
CWD43  | 03:50 PM - 04:00 PM | Court 10
CWD44  | 04:00 PM - 04:10 PM | Court 15
CWD45  | 04:00 PM - 04:10 PM | Court 16
CWD46  | 04:00 PM - 04:10 PM | Court 17
CWD47  | 04:00 PM - 04:10 PM | Court 17
CWD48  | 04:20 PM - 04:30 PM | Court 17
CWD49  | 04:20 PM - 04:30 PM | Court 17
CWD50  | 04:30 PM - 04:40 PM | Court 17
CWD51  | 04:30 PM - 04:40 PM | Court 17
CWD52  | 04:40 PM - 04:50 PM | Court 17
CWD53  | 04:50 PM - 05:00 PM | Court 15
CWD54  | 05:10 PM - 05:40 PM | Court 14
