=== MATCH SCHEDULE FOR CXD ===
CXD2   | 12:00 noon - 12:30 PM | Court 3
CXD4   | 12:00 noon - 12:30 PM | Court 4
CXD6   | 12:00 noon - 12:30 PM | Court 5
CXD8   | 12:00 noon - 12:30 PM | Court 6
CXD10  | 12:00 noon - 12:30 PM | Court 7
CXD12  | 12:00 noon - 12:30 PM | Court 8
CXD14  | 12:00 noon - 12:30 PM | Court 9
CXD15  | 12:00 noon - 12:30 PM | Court 10
CXD16  | 12:30 PM - 01:00 PM | Court 15
CXD17  | 12:30 PM - 01:00 PM | Court 16
CXD18  | 12:30 PM - 01:00 PM | Court 17
CXD19  | 12:30 PM - 01:00 PM | Court 17
CXD21  | 12:30 PM - 01:00 PM | Court 11
CXD23  | 12:30 PM - 01:00 PM | Court 12
CXD25  | 12:30 PM - 01:00 PM | Court 13
CXD26  | 12:30 PM - 01:00 PM | Court 14
CXD27  | 12:30 PM - 01:00 PM | Court 1
CXD29  | 12:30 PM - 01:00 PM | Court 2
CXD31  | 12:30 PM - 01:00 PM | Court 3
CXD33  | 03:00 PM - 03:30 PM | Court 17
CXD34  | 03:00 PM - 03:30 PM | Court 17
CXD35  | 03:00 PM - 03:30 PM | Court 11
CXD36  | 03:00 PM - 03:30 PM | Court 12
CXD37  | 03:00 PM - 03:30 PM | Court 13
CXD38  | 03:00 PM - 03:30 PM | Court 14
CXD39  | 03:00 PM - 03:30 PM | Court 1
CXD40  | 03:00 PM - 03:30 PM | Court 2
CXD41  | 03:00 PM - 03:30 PM | Court 3
CXD42  | 03:00 PM - 03:30 PM | Court 4
CXD43  | 03:00 PM - 03:30 PM | Court 5
CXD44  | 03:00 PM - 03:30 PM | Court 6
CXD45  | 03:00 PM - 03:30 PM | Court 7
CXD46  | 03:00 PM - 03:30 PM | Court 8
CXD47  | 03:00 PM - 03:30 PM | Court 9
CXD48  | 03:00 PM - 03:30 PM | Court 10
CXD49  | 05:00 PM - 05:30 PM | Court 14
CXD50  | 05:00 PM - 05:30 PM | Court 1
CXD51  | 05:00 PM - 05:30 PM | Court 2
CXD52  | 05:00 PM - 05:30 PM | Court 3
CXD53  | 05:00 PM - 05:30 PM | Court 4
CXD54  | 05:00 PM - 05:30 PM | Court 5
CXD55  | 05:00 PM - 05:30 PM | Court 6
CXD56  | 05:00 PM - 05:30 PM | Court 7
CXD57  | 07:10 PM - 07:40 PM | Court 17
CXD58  | 07:10 PM - 07:40 PM | Court 11
CXD59  | 07:10 PM - 07:40 PM | Court 12
CXD60  | 07:10 PM - 07:40 PM | Court 13
CXD61  | 09:00 PM - 09:30 PM | Court 16
CXD62  | 09:00 PM - 09:30 PM | Court 17
CXD63  | 09:50 PM - 10:20 PM | Court 16
CXD71  | 07:10 PM - 07:20 PM | Court 14
CXD72  | 07:10 PM - 07:20 PM | Court 1
CXD76  | 07:10 PM - 07:20 PM | Court 2
CXD80  | 07:10 PM - 07:20 PM | Court 3
CXD81  | 07:10 PM - 07:20 PM | Court 4
CXD82  | 07:10 PM - 07:20 PM | Court 5
CXD83  | 07:10 PM - 07:20 PM | Court 6
CXD84  | 07:10 PM - 07:20 PM | Court 7
CXD85  | 07:10 PM - 07:20 PM | Court 8
CXD86  | 07:10 PM - 07:20 PM | Court 9
CXD89  | 07:10 PM - 07:20 PM | Court 10
CXD90  | 07:20 PM - 07:30 PM | Court 15
CXD91  | 07:20 PM - 07:30 PM | Court 16
CXD93  | 07:20 PM - 07:30 PM | Court 17
CXD94  | 07:20 PM - 07:30 PM | Court 14
CXD95  | 07:20 PM - 07:30 PM | Court 1
CXD96  | 08:20 PM - 08:30 PM | Court 2
CXD97  | 08:20 PM - 08:30 PM | Court 3
CXD98  | 08:20 PM - 08:30 PM | Court 4
CXD99  | 08:20 PM - 08:30 PM | Court 5
CXD100 | 08:20 PM - 08:30 PM | Court 6
CXD101 | 08:20 PM - 08:30 PM | Court 7
CXD102 | 08:20 PM - 08:30 PM | Court 8
CXD103 | 08:20 PM - 08:30 PM | Court 9
CXD104 | 09:00 PM - 09:10 PM | Court 14
CXD105 | 09:00 PM - 09:10 PM | Court 5
CXD106 | 09:00 PM - 09:10 PM | Court 6
CXD107 | 09:00 PM - 09:10 PM | Court 7
CXD108 | 09:40 PM - 09:50 PM | Court 17
CXD109 | 09:40 PM - 09:50 PM | Court 17
CXD110 | 10:10 PM - 10:40 PM | Court 8
