=== MATCH SCHEDULE FOR DMD ===
DMD2   | 08:00 AM - 08:30 AM | Court 1
DMD4   | 08:00 AM - 08:30 AM | Court 2
DMD6   | 08:00 AM - 08:30 AM | Court 3
DMD7   | 08:00 AM - 08:30 AM | Court 4
DMD8   | 08:00 AM - 08:30 AM | Court 5
DMD10  | 08:00 AM - 08:30 AM | Court 6
DMD11  | 08:30 AM - 09:00 AM | Court 1
DMD12  | 08:30 AM - 09:00 AM | Court 2
DMD14  | 08:30 AM - 09:00 AM | Court 3
DMD15  | 08:30 AM - 09:00 AM | Court 4
DMD16  | 08:30 AM - 09:00 AM | Court 5
DMD17  | 08:30 AM - 09:00 AM | Court 6
DMD18  | 09:00 AM - 09:30 AM | Court 1
DMD19  | 09:00 AM - 09:30 AM | Court 2
DMD21  | 09:00 AM - 09:30 AM | Court 3
DMD22  | 09:00 AM - 09:30 AM | Court 4
DMD23  | 09:00 AM - 09:30 AM | Court 5
DMD25  | 09:00 AM - 09:30 AM | Court 6
DMD26  | 09:30 AM - 10:00 AM | Court 1
DMD27  | 09:30 AM - 10:00 AM | Court 2
DMD29  | 09:30 AM - 10:00 AM | Court 3
DMD30  | 09:30 AM - 10:00 AM | Court 4
DMD31  | 09:30 AM - 10:00 AM | Court 5
DMD33  | 11:00 AM - 11:30 AM | Court 5
DMD34  | 11:00 AM - 11:30 AM | Court 6
DMD35  | 11:00 AM - 11:30 AM | Court 7
DMD36  | 11:00 AM - 11:30 AM | Court 8
DMD37  | 11:00 AM - 11:30 AM | Court 9
DMD38  | 11:00 AM - 11:30 AM | Court 10
DMD39  | 11:30 AM - 12:00 noon | Court 15
DMD40  | 11:30 AM - 12:00 noon | Court 16
DMD41  | 11:30 AM - 12:00 noon | Court 17
DMD42  | 11:30 AM - 12:00 noon | Court 17
DMD43  | 11:30 AM - 12:00 noon | Court 11
DMD44  | 11:30 AM - 12:00 noon | Court 12
DMD45  | 11:30 AM - 12:00 noon | Court 13
DMD46  | 11:30 AM - 12:00 noon | Court 14
DMD47  | 11:30 AM - 12:00 noon | Court 1
DMD48  | 11:30 AM - 12:00 noon | Court 2
DMD49  | 01:00 PM - 01:30 PM | Court 3
DMD50  | 01:00 PM - 01:30 PM | Court 4
DMD51  | 01:00 PM - 01:30 PM | Court 5
DMD52  | 01:00 PM - 01:30 PM | Court 6
DMD53  | 01:00 PM - 01:30 PM | Court 7
DMD54  | 01:00 PM - 01:30 PM | Court 8
DMD55  | 01:00 PM - 01:30 PM | Court 9
DMD56  | 01:00 PM - 01:30 PM | Court 10
DMD57  | 02:30 PM - 03:00 PM | Court 11
DMD58  | 02:30 PM - 03:00 PM | Court 12
DMD59  | 02:30 PM - 03:00 PM | Court 13
DMD60  | 02:30 PM - 03:00 PM | Court 14
DMD61  | 04:00 PM - 04:30 PM | Court 11
DMD62  | 04:00 PM - 04:30 PM | Court 12
DMD63  | 04:40 PM - 05:10 PM | Court 14
DMD67  | 02:30 PM - 02:40 PM | Court 2
DMD69  | 02:30 PM - 02:40 PM | Court 3
DMD71  | 02:30 PM - 02:40 PM | Court 4
DMD72  | 02:30 PM - 02:40 PM | Court 5
DMD74  | 02:30 PM - 02:40 PM | Court 6
DMD76  | 02:30 PM - 02:40 PM | Court 7
DMD78  | 02:30 PM - 02:40 PM | Court 8
DMD80  | 02:30 PM - 02:40 PM | Court 9
DMD81  | 02:30 PM - 02:40 PM | Court 10
DMD82  | 02:40 PM - 02:50 PM | Court 2
DMD84  | 02:40 PM - 02:50 PM | Court 3
DMD86  | 02:40 PM - 02:50 PM | Court 4
DMD89  | 02:40 PM - 02:50 PM | Court 5
DMD91  | 02:40 PM - 02:50 PM | Court 6
DMD93  | 02:40 PM - 02:50 PM | Court 7
DMD95  | 02:40 PM - 02:50 PM | Court 8
DMD96  | 03:20 PM - 03:30 PM | Court 8
DMD97  | 03:20 PM - 03:30 PM | Court 9
DMD98  | 03:20 PM - 03:30 PM | Court 10
DMD99  | 03:30 PM - 03:40 PM | Court 15
DMD100 | 03:30 PM - 03:40 PM | Court 16
DMD101 | 03:30 PM - 03:40 PM | Court 17
DMD102 | 03:30 PM - 03:40 PM | Court 17
DMD103 | 03:30 PM - 03:40 PM | Court 11
DMD104 | 04:00 PM - 04:10 PM | Court 13
DMD105 | 04:00 PM - 04:10 PM | Court 14
DMD106 | 04:00 PM - 04:10 PM | Court 2
DMD107 | 04:00 PM - 04:10 PM | Court 3
DMD108 | 04:30 PM - 04:40 PM | Court 12
DMD109 | 04:30 PM - 04:40 PM | Court 4
DMD110 | 04:50 PM - 05:20 PM | Court 12
