=== MATCH SCHEDULE FOR DMS ===
DMS26  | 08:00 AM - 08:30 AM | Court 4
DMS27  | 08:00 AM - 08:30 AM | Court 5
DMS28  | 08:00 AM - 08:30 AM | Court 6
DMS29  | 08:30 AM - 09:00 AM | Court 1
DMS30  | 08:30 AM - 09:00 AM | Court 2
DMS31  | 08:30 AM - 09:00 AM | Court 3
DMS32  | 08:30 AM - 09:00 AM | Court 4
DMS33  | 08:30 AM - 09:00 AM | Court 5
DMS34  | 08:30 AM - 09:00 AM | Court 6
DMS35  | 09:00 AM - 09:30 AM | Court 1
DMS36  | 09:00 AM - 09:30 AM | Court 2
DMS37  | 09:00 AM - 09:30 AM | Court 3
DMS38  | 09:00 AM - 09:30 AM | Court 4
DMS39  | 09:00 AM - 09:30 AM | Court 5
DMS40  | 09:00 AM - 09:30 AM | Court 6
DMS65  | 11:00 AM - 11:30 AM | Court 7
DMS66  | 11:00 AM - 11:30 AM | Court 8
DMS67  | 11:00 AM - 11:30 AM | Court 9
DMS68  | 11:00 AM - 11:30 AM | Court 10
DMS69  | 11:30 AM - 12:00 noon | Court 15
DMS70  | 11:30 AM - 12:00 noon | Court 16
DMS71  | 11:30 AM - 12:00 noon | Court 17
DMS72  | 11:30 AM - 12:00 noon | Court 17
DMS73  | 11:30 AM - 12:00 noon | Court 11
DMS74  | 11:30 AM - 12:00 noon | Court 12
DMS75  | 11:30 AM - 12:00 noon | Court 13
DMS76  | 11:30 AM - 12:00 noon | Court 14
DMS77  | 11:30 AM - 12:00 noon | Court 1
DMS78  | 11:30 AM - 12:00 noon | Court 2
DMS79  | 11:30 AM - 12:00 noon | Court 3
DMS80  | 11:30 AM - 12:00 noon | Court 4
DMS81  | 11:30 AM - 12:00 noon | Court 5
DMS82  | 11:30 AM - 12:00 noon | Court 6
DMS83  | 11:30 AM - 12:00 noon | Court 7
DMS84  | 11:30 AM - 12:00 noon | Court 8
DMS85  | 11:30 AM - 12:00 noon | Court 9
DMS86  | 11:30 AM - 12:00 noon | Court 10
DMS87  | 12:00 noon - 12:30 PM | Court 15
DMS88  | 12:00 noon - 12:30 PM | Court 16
DMS89  | 12:00 noon - 12:30 PM | Court 17
DMS90  | 12:00 noon - 12:30 PM | Court 17
DMS91  | 12:00 noon - 12:30 PM | Court 11
DMS92  | 12:00 noon - 12:30 PM | Court 12
DMS93  | 12:00 noon - 12:30 PM | Court 13
DMS94  | 12:00 noon - 12:30 PM | Court 14
DMS95  | 12:00 noon - 12:30 PM | Court 1
DMS96  | 12:00 noon - 12:30 PM | Court 2
DMS97  | 02:30 PM - 03:00 PM | Court 15
DMS98  | 02:30 PM - 03:00 PM | Court 16
DMS99  | 02:30 PM - 03:00 PM | Court 17
DMS100 | 02:30 PM - 03:00 PM | Court 17
DMS101 | 02:30 PM - 03:00 PM | Court 1
DMS102 | 02:30 PM - 03:00 PM | Court 2
DMS103 | 02:30 PM - 03:00 PM | Court 3
DMS104 | 02:30 PM - 03:00 PM | Court 4
DMS105 | 02:30 PM - 03:00 PM | Court 5
DMS106 | 02:30 PM - 03:00 PM | Court 6
DMS107 | 02:30 PM - 03:00 PM | Court 7
DMS108 | 02:30 PM - 03:00 PM | Court 8
DMS109 | 02:30 PM - 03:00 PM | Court 9
DMS110 | 02:30 PM - 03:00 PM | Court 10
DMS111 | 03:00 PM - 03:30 PM | Court 15
DMS112 | 03:00 PM - 03:30 PM | Court 16
DMS113 | 04:30 PM - 05:00 PM | Court 10
DMS114 | 05:00 PM - 05:30 PM | Court 15
DMS115 | 05:00 PM - 05:30 PM | Court 16
DMS116 | 05:00 PM - 05:30 PM | Court 17
DMS117 | 05:00 PM - 05:30 PM | Court 17
DMS118 | 05:00 PM - 05:30 PM | Court 11
DMS119 | 05:00 PM - 05:30 PM | Court 12
DMS120 | 05:00 PM - 05:30 PM | Court 13
DMS121 | 06:40 PM - 07:10 PM | Court 17
DMS122 | 06:40 PM - 07:10 PM | Court 3
DMS123 | 06:40 PM - 07:10 PM | Court 4
DMS124 | 06:40 PM - 07:10 PM | Court 5
DMS125 | 08:50 PM - 09:20 PM | Court 1
DMS126 | 08:50 PM - 09:20 PM | Court 4
DMS127 | 09:50 PM - 10:20 PM | Court 15
DMS141 | 06:00 PM - 06:10 PM | Court 17
DMS142 | 06:00 PM - 06:10 PM | Court 17
DMS143 | 06:00 PM - 06:10 PM | Court 4
DMS144 | 06:00 PM - 06:10 PM | Court 5
DMS145 | 06:00 PM - 06:10 PM | Court 6
DMS146 | 06:00 PM - 06:10 PM | Court 7
DMS147 | 06:00 PM - 06:10 PM | Court 8
DMS172 | 06:00 PM - 06:10 PM | Court 9
DMS192 | 06:40 PM - 06:50 PM | Court 6
DMS193 | 06:40 PM - 06:50 PM | Court 7
DMS194 | 06:40 PM - 06:50 PM | Court 8
DMS195 | 06:40 PM - 06:50 PM | Court 9
DMS196 | 06:50 PM - 07:00 PM | Court 6
DMS197 | 06:50 PM - 07:00 PM | Court 7
DMS198 | 06:50 PM - 07:00 PM | Court 8
DMS199 | 06:50 PM - 07:00 PM | Court 9
DMS200 | 07:00 PM - 07:10 PM | Court 6
DMS201 | 07:00 PM - 07:10 PM | Court 7
DMS202 | 07:00 PM - 07:10 PM | Court 8
DMS203 | 07:00 PM - 07:10 PM | Court 9
DMS204 | 07:00 PM - 07:10 PM | Court 10
DMS205 | 07:10 PM - 07:20 PM | Court 15
DMS206 | 07:10 PM - 07:20 PM | Court 16
DMS207 | 07:10 PM - 07:20 PM | Court 17
DMS208 | 08:10 PM - 08:20 PM | Court 9
DMS209 | 08:10 PM - 08:20 PM | Court 10
DMS210 | 08:20 PM - 08:30 PM | Court 15
DMS211 | 08:20 PM - 08:30 PM | Court 16
DMS212 | 08:20 PM - 08:30 PM | Court 17
DMS213 | 08:20 PM - 08:30 PM | Court 17
DMS214 | 08:20 PM - 08:30 PM | Court 11
DMS215 | 08:20 PM - 08:30 PM | Court 14
DMS216 | 08:50 PM - 09:00 PM | Court 5
DMS217 | 08:50 PM - 09:00 PM | Court 6
DMS218 | 08:50 PM - 09:00 PM | Court 7
DMS219 | 09:00 PM - 09:10 PM | Court 15
DMS220 | 09:40 PM - 09:50 PM | Court 15
DMS221 | 09:40 PM - 09:50 PM | Court 16
DMS222 | 10:10 PM - 10:40 PM | Court 7
