=== MATCH SCHEDULE FOR DWD ===
DWD1   | 11:30 AM - 12:00 noon | Court 3
DWD2   | 11:30 AM - 12:00 noon | Court 4
DWD3   | 11:30 AM - 12:00 noon | Court 5
DWD4   | 11:30 AM - 12:00 noon | Court 6
DWD5   | 11:30 AM - 12:00 noon | Court 7
DWD6   | 11:30 AM - 12:00 noon | Court 8
DWD7   | 11:30 AM - 12:00 noon | Court 9
DWD8   | 11:30 AM - 12:00 noon | Court 10
DWD9   | 12:00 noon - 12:30 PM | Court 15
DWD10  | 12:00 noon - 12:30 PM | Court 16
DWD11  | 12:00 noon - 12:30 PM | Court 17
DWD12  | 12:00 noon - 12:30 PM | Court 17
DWD13  | 12:00 noon - 12:30 PM | Court 11
DWD14  | 12:00 noon - 12:30 PM | Court 12
DWD15  | 12:00 noon - 12:30 PM | Court 13
DWD16  | 12:00 noon - 12:30 PM | Court 14
DWD17  | 01:30 PM - 02:00 PM | Court 15
DWD18  | 01:30 PM - 02:00 PM | Court 16
DWD19  | 01:30 PM - 02:00 PM | Court 17
DWD20  | 01:30 PM - 02:00 PM | Court 17
DWD21  | 01:30 PM - 02:00 PM | Court 11
DWD22  | 01:30 PM - 02:00 PM | Court 12
DWD23  | 01:30 PM - 02:00 PM | Court 13
DWD24  | 01:30 PM - 02:00 PM | Court 14
DWD25  | 02:40 PM - 03:10 PM | Court 9
DWD26  | 02:40 PM - 03:10 PM | Court 10
DWD27  | 02:50 PM - 03:20 PM | Court 2
DWD28  | 02:50 PM - 03:20 PM | Court 3
DWD29  | 04:00 PM - 04:30 PM | Court 4
DWD30  | 04:00 PM - 04:30 PM | Court 5
DWD31  | 04:40 PM - 05:10 PM | Court 2
DWD32  | 03:30 PM - 03:40 PM | Court 8
DWD33  | 03:30 PM - 03:40 PM | Court 9
DWD34  | 03:30 PM - 03:40 PM | Court 10
DWD35  | 03:40 PM - 03:50 PM | Court 15
DWD36  | 03:40 PM - 03:50 PM | Court 16
DWD37  | 03:40 PM - 03:50 PM | Court 17
DWD38  | 03:40 PM - 03:50 PM | Court 17
DWD39  | 03:40 PM - 03:50 PM | Court 11
DWD48  | 04:00 PM - 04:10 PM | Court 6
DWD49  | 04:00 PM - 04:10 PM | Court 7
DWD50  | 04:00 PM - 04:10 PM | Court 8
DWD51  | 04:00 PM - 04:10 PM | Court 9
DWD52  | 04:30 PM - 04:40 PM | Court 5
DWD53  | 04:30 PM - 04:40 PM | Court 6
DWD54  | 04:50 PM - 05:20 PM | Court 13
