=== MATCH SCHEDULE FOR DWS ===
DWS2   | 01:30 PM - 02:00 PM | Court 17
DWS4   | 01:30 PM - 02:00 PM | Court 17
DWS6   | 01:30 PM - 02:00 PM | Court 11
DWS7   | 01:30 PM - 02:00 PM | Court 12
DWS8   | 01:30 PM - 02:00 PM | Court 13
DWS9   | 01:30 PM - 02:00 PM | Court 14
DWS10  | 01:30 PM - 02:00 PM | Court 1
DWS11  | 01:30 PM - 02:00 PM | Court 2
DWS13  | 01:30 PM - 02:00 PM | Court 3
DWS14  | 01:30 PM - 02:00 PM | Court 4
DWS15  | 01:30 PM - 02:00 PM | Court 5
DWS17  | 04:00 PM - 04:30 PM | Court 15
DWS18  | 04:00 PM - 04:30 PM | Court 16
DWS19  | 04:00 PM - 04:30 PM | Court 17
DWS20  | 04:00 PM - 04:30 PM | Court 17
DWS21  | 04:00 PM - 04:30 PM | Court 2
DWS22  | 04:00 PM - 04:30 PM | Court 3
DWS23  | 04:00 PM - 04:30 PM | Court 4
DWS24  | 04:00 PM - 04:30 PM | Court 5
DWS25  | 06:00 PM - 06:30 PM | Court 10
DWS26  | 06:10 PM - 06:40 PM | Court 15
DWS27  | 06:10 PM - 06:40 PM | Court 16
DWS28  | 06:10 PM - 06:40 PM | Court 17
DWS29  | 08:30 PM - 09:00 PM | Court 8
DWS30  | 08:30 PM - 09:00 PM | Court 9
DWS31  | 09:40 PM - 10:10 PM | Court 7
DWS35  | 07:50 PM - 08:00 PM | Court 8
DWS36  | 07:50 PM - 08:00 PM | Court 9
DWS38  | 07:50 PM - 08:00 PM | Court 10
DWS40  | 08:00 PM - 08:10 PM | Court 15
DWS41  | 08:00 PM - 08:10 PM | Court 16
DWS42  | 08:00 PM - 08:10 PM | Court 17
DWS45  | 08:00 PM - 08:10 PM | Court 17
DWS47  | 08:00 PM - 08:10 PM | Court 11
DWS48  | 08:30 PM - 08:40 PM | Court 10
DWS49  | 08:40 PM - 08:50 PM | Court 15
DWS50  | 08:40 PM - 08:50 PM | Court 16
DWS51  | 08:40 PM - 08:50 PM | Court 17
DWS52  | 09:30 PM - 09:40 PM | Court 16
DWS53  | 09:30 PM - 09:40 PM | Court 17
DWS54  | 09:50 PM - 10:20 PM | Court 11
