=== MATCH SCHEDULE FOR DXD ===
DXD2   | 12:30 PM - 01:00 PM | Court 4
DXD3   | 12:30 PM - 01:00 PM | Court 5
DXD4   | 12:30 PM - 01:00 PM | Court 6
DXD6   | 12:30 PM - 01:00 PM | Court 7
DXD7   | 12:30 PM - 01:00 PM | Court 8
DXD8   | 12:30 PM - 01:00 PM | Court 9
DXD10  | 12:30 PM - 01:00 PM | Court 10
DXD11  | 01:00 PM - 01:30 PM | Court 15
DXD12  | 01:00 PM - 01:30 PM | Court 16
DXD13  | 01:00 PM - 01:30 PM | Court 17
DXD14  | 01:00 PM - 01:30 PM | Court 17
DXD15  | 01:00 PM - 01:30 PM | Court 11
DXD16  | 01:00 PM - 01:30 PM | Court 12
DXD17  | 01:00 PM - 01:30 PM | Court 13
DXD18  | 01:00 PM - 01:30 PM | Court 14
DXD19  | 01:00 PM - 01:30 PM | Court 1
DXD20  | 01:00 PM - 01:30 PM | Court 2
DXD21  | 01:00 PM - 01:30 PM | Court 3
DXD22  | 01:00 PM - 01:30 PM | Court 4
DXD23  | 01:00 PM - 01:30 PM | Court 5
DXD25  | 01:00 PM - 01:30 PM | Court 6
DXD26  | 01:00 PM - 01:30 PM | Court 7
DXD27  | 01:00 PM - 01:30 PM | Court 8
DXD28  | 01:00 PM - 01:30 PM | Court 9
DXD29  | 01:00 PM - 01:30 PM | Court 10
DXD30  | 01:30 PM - 02:00 PM | Court 15
DXD31  | 01:30 PM - 02:00 PM | Court 16
DXD33  | 03:30 PM - 04:00 PM | Court 15
DXD34  | 03:30 PM - 04:00 PM | Court 16
DXD35  | 03:30 PM - 04:00 PM | Court 17
DXD36  | 03:30 PM - 04:00 PM | Court 17
DXD37  | 03:30 PM - 04:00 PM | Court 11
DXD38  | 03:30 PM - 04:00 PM | Court 12
DXD39  | 03:30 PM - 04:00 PM | Court 13
DXD40  | 03:30 PM - 04:00 PM | Court 14
DXD41  | 03:30 PM - 04:00 PM | Court 1
DXD42  | 03:30 PM - 04:00 PM | Court 2
DXD43  | 03:30 PM - 04:00 PM | Court 3
DXD44  | 03:30 PM - 04:00 PM | Court 4
DXD45  | 03:30 PM - 04:00 PM | Court 5
DXD46  | 03:30 PM - 04:00 PM | Court 6
DXD47  | 03:30 PM - 04:00 PM | Court 7
DXD48  | 03:30 PM - 04:00 PM | Court 8
DXD49  | 05:30 PM - 06:00 PM | Court 15
DXD50  | 05:30 PM - 06:00 PM | Court 16
DXD51  | 05:30 PM - 06:00 PM | Court 17
DXD52  | 05:30 PM - 06:00 PM | Court 17
DXD53  | 05:30 PM - 06:00 PM | Court 11
DXD54  | 05:30 PM - 06:00 PM | Court 12
DXD55  | 05:30 PM - 06:00 PM | Court 13
DXD56  | 05:30 PM - 06:00 PM | Court 14
DXD57  | 07:20 PM - 07:50 PM | Court 10
DXD58  | 07:30 PM - 08:00 PM | Court 15
DXD59  | 07:30 PM - 08:00 PM | Court 16
DXD60  | 07:30 PM - 08:00 PM | Court 17
DXD61  | 09:10 PM - 09:40 PM | Court 15
DXD62  | 09:10 PM - 09:40 PM | Court 17
DXD63  | 09:50 PM - 10:20 PM | Court 17
DXD65  | 07:30 PM - 07:40 PM | Court 14
DXD67  | 07:30 PM - 07:40 PM | Court 1
DXD69  | 07:40 PM - 07:50 PM | Court 17
DXD70  | 07:40 PM - 07:50 PM | Court 11
DXD71  | 07:40 PM - 07:50 PM | Court 12
DXD72  | 07:40 PM - 07:50 PM | Court 13
DXD73  | 07:40 PM - 07:50 PM | Court 14
DXD74  | 07:40 PM - 07:50 PM | Court 1
DXD76  | 07:50 PM - 08:00 PM | Court 17
DXD77  | 07:50 PM - 08:00 PM | Court 11
DXD78  | 07:50 PM - 08:00 PM | Court 12
DXD80  | 07:50 PM - 08:00 PM | Court 13
DXD82  | 07:50 PM - 08:00 PM | Court 14
DXD84  | 07:50 PM - 08:00 PM | Court 1
DXD91  | 07:50 PM - 08:00 PM | Court 2
DXD95  | 07:50 PM - 08:00 PM | Court 3
DXD96  | 08:20 PM - 08:30 PM | Court 10
DXD97  | 08:30 PM - 08:40 PM | Court 15
DXD98  | 08:30 PM - 08:40 PM | Court 16
DXD99  | 08:30 PM - 08:40 PM | Court 17
DXD100 | 08:30 PM - 08:40 PM | Court 17
DXD101 | 08:30 PM - 08:40 PM | Court 11
DXD102 | 08:30 PM - 08:40 PM | Court 12
DXD103 | 08:30 PM - 08:40 PM | Court 13
DXD104 | 09:20 PM - 09:30 PM | Court 11
DXD105 | 09:20 PM - 09:30 PM | Court 12
DXD106 | 09:20 PM - 09:30 PM | Court 13
DXD107 | 09:20 PM - 09:30 PM | Court 14
DXD108 | 09:40 PM - 09:50 PM | Court 2
DXD109 | 09:40 PM - 09:50 PM | Court 3
DXD110 | 10:20 PM - 10:50 PM | Court 11
