=== MATCH SCHEDULE FOR BMD ===
12:00 noon - 12:30 PM | BMD2   | Court 1
12:00 noon - 12:30 PM | BMD3   | Court 2
12:00 noon - 12:30 PM | BMD4   | Court 3
12:00 noon - 12:30 PM | BMD6   | Court 4
12:00 noon - 12:30 PM | BMD7   | Court 5
12:00 noon - 12:30 PM | BMD8   | Court 6
12:00 noon - 12:30 PM | BMD9   | Court 7
12:00 noon - 12:30 PM | BMD10  | Court 8
12:00 noon - 12:30 PM | BMD11  | Court 9
12:00 noon - 12:30 PM | BMD12  | Court 10
12:30 PM - 01:00 PM | BMD13  | Court 11
12:30 PM - 01:00 PM | BMD14  | Court 12
12:30 PM - 01:00 PM | BMD15  | Court 13
01:30 PM - 02:00 PM | BMD17  | Court 1
01:30 PM - 02:00 PM | BMD18  | Court 2
01:30 PM - 02:00 PM | BMD19  | Court 3
01:30 PM - 02:00 PM | BMD20  | Court 4
01:30 PM - 02:00 PM | BMD21  | Court 5
01:30 PM - 02:00 PM | BMD22  | Court 6
01:30 PM - 02:00 PM | BMD23  | Court 7
01:30 PM - 02:00 PM | BMD24  | Court 8
02:50 PM - 03:20 PM | BMD25  | Court 4
02:50 PM - 03:20 PM | BMD26  | Court 5
02:50 PM - 03:20 PM | BMD27  | Court 6
02:50 PM - 03:20 PM | BMD28  | Court 7
03:40 PM - 03:50 PM | BMD33  | Court 8
03:40 PM - 03:50 PM | BMD35  | Court 9
03:40 PM - 03:50 PM | BMD36  | Court 10
03:50 PM - 04:00 PM | BMD37  | Court 15
03:50 PM - 04:00 PM | BMD38  | Court 16
03:50 PM - 04:00 PM | BMD40  | Court 17
03:50 PM - 04:00 PM | BMD42  | Court 17
03:50 PM - 04:00 PM | BMD47  | Court 11
04:00 PM - 04:30 PM | BMD29  | Court 10
04:10 PM - 04:40 PM | BMD30  | Court 13
04:10 PM - 04:20 PM | BMD48  | Court 15
04:10 PM - 04:20 PM | BMD49  | Court 16
04:10 PM - 04:20 PM | BMD50  | Court 17
04:10 PM - 04:20 PM | BMD51  | Court 17
04:30 PM - 04:40 PM | BMD52  | Court 7
04:30 PM - 04:40 PM | BMD53  | Court 8
04:50 PM - 05:20 PM | BMD31  | Court 3
04:50 PM - 05:20 PM | BMD54  | Court 4
