=== MATCH SCHEDULE FOR BMS ===
02:00 PM - 02:30 PM | BMS2   | Court 4
02:00 PM - 02:30 PM | BMS4   | Court 5
02:00 PM - 02:30 PM | BMS6   | Court 6
02:00 PM - 02:30 PM | BMS7   | Court 7
02:00 PM - 02:30 PM | BMS8   | Court 8
02:00 PM - 02:30 PM | BMS9   | Court 9
02:00 PM - 02:30 PM | BMS10  | Court 10
02:30 PM - 03:00 PM | BMS11  | Court 11
02:30 PM - 03:00 PM | BMS13  | Court 12
02:30 PM - 03:00 PM | BMS14  | Court 13
02:30 PM - 03:00 PM | BMS15  | Court 14
04:30 PM - 05:00 PM | BMS17  | Court 2
04:30 PM - 05:00 PM | BMS18  | Court 3
04:30 PM - 05:00 PM | BMS19  | Court 4
04:30 PM - 05:00 PM | BMS20  | Court 5
04:30 PM - 05:00 PM | BMS21  | Court 6
04:30 PM - 05:00 PM | BMS22  | Court 7
04:30 PM - 05:00 PM | BMS23  | Court 8
04:30 PM - 05:00 PM | BMS24  | Court 9
06:40 PM - 07:10 PM | BMS25  | Court 11
06:40 PM - 07:10 PM | BMS26  | Court 12
06:40 PM - 07:10 PM | BMS27  | Court 13
06:40 PM - 07:10 PM | BMS28  | Court 14
08:10 PM - 08:20 PM | BMS35  | Court 16
08:10 PM - 08:20 PM | BMS36  | Court 17
08:10 PM - 08:20 PM | BMS38  | Court 17
08:10 PM - 08:20 PM | BMS40  | Court 11
08:10 PM - 08:20 PM | BMS41  | Court 14
08:10 PM - 08:20 PM | BMS42  | Court 2
08:10 PM - 08:20 PM | BMS45  | Court 3
08:10 PM - 08:20 PM | BMS47  | Court 8
08:50 PM - 09:20 PM | BMS29  | Court 12
08:50 PM - 09:20 PM | BMS30  | Court 13
08:50 PM - 09:00 PM | BMS48  | Court 15
08:50 PM - 09:00 PM | BMS49  | Court 16
08:50 PM - 09:00 PM | BMS50  | Court 17
08:50 PM - 09:00 PM | BMS51  | Court 14
09:30 PM - 09:40 PM | BMS52  | Court 9
09:30 PM - 09:40 PM | BMS53  | Court 10
09:50 PM - 10:20 PM | BMS31  | Court 3
09:50 PM - 10:20 PM | BMS54  | Court 4
