=== MATCH SCHEDULE FOR BXD ===
03:30 PM - 04:00 PM | BXD4   | Court 9
03:30 PM - 04:00 PM | BXD6   | Court 10
04:00 PM - 04:30 PM | BXD8   | Court 11
04:00 PM - 04:30 PM | BXD9   | Court 12
04:00 PM - 04:30 PM | BXD11  | Court 13
04:00 PM - 04:30 PM | BXD13  | Court 14
04:00 PM - 04:30 PM | BXD15  | Court 1
05:30 PM - 06:00 PM | BXD17  | Court 7
05:30 PM - 06:00 PM | BXD18  | Court 8
05:30 PM - 06:00 PM | BXD19  | Court 9
05:30 PM - 06:00 PM | BXD20  | Court 10
06:00 PM - 06:30 PM | BXD21  | Court 11
06:00 PM - 06:30 PM | BXD22  | Court 12
06:00 PM - 06:30 PM | BXD23  | Court 13
06:00 PM - 06:30 PM | BXD24  | Court 14
07:50 PM - 08:20 PM | BXD25  | Court 4
07:50 PM - 08:20 PM | BXD26  | Court 5
07:50 PM - 08:20 PM | BXD27  | Court 6
07:50 PM - 08:20 PM | BXD28  | Court 7
08:30 PM - 08:40 PM | BXD41  | Court 14
08:30 PM - 08:40 PM | BXD42  | Court 2
08:30 PM - 08:40 PM | BXD43  | Court 3
08:30 PM - 08:40 PM | BXD44  | Court 4
08:30 PM - 08:40 PM | BXD45  | Court 5
08:30 PM - 08:40 PM | BXD46  | Court 6
08:30 PM - 08:40 PM | BXD47  | Court 7
09:20 PM - 09:50 PM | BXD29  | Court 1
09:20 PM - 09:50 PM | BXD30  | Court 4
09:20 PM - 09:30 PM | BXD48  | Court 5
09:20 PM - 09:30 PM | BXD49  | Court 6
09:20 PM - 09:30 PM | BXD50  | Court 7
09:20 PM - 09:30 PM | BXD51  | Court 10
09:40 PM - 09:50 PM | BXD52  | Court 5
09:40 PM - 09:50 PM | BXD53  | Court 6
10:20 PM - 10:50 PM | BXD31  | Court 12
10:20 PM - 10:50 PM | BXD54  | Court 13
