=== MATCH SCHEDULE FOR CMD ===
09:30 AM - 10:00 AM | CMD2   | Court 6
10:00 AM - 10:30 AM | CMD3   | Court 1
10:00 AM - 10:30 AM | CMD4   | Court 2
10:00 AM - 10:30 AM | CMD6   | Court 3
10:00 AM - 10:30 AM | CMD7   | Court 4
10:00 AM - 10:30 AM | CMD8   | Court 5
10:00 AM - 10:30 AM | CMD10  | Court 6
10:30 AM - 11:00 AM | CMD11  | Court 1
10:30 AM - 11:00 AM | CMD12  | Court 2
10:30 AM - 11:00 AM | CMD14  | Court 3
10:30 AM - 11:00 AM | CMD15  | Court 4
10:30 AM - 11:00 AM | CMD16  | Court 5
10:30 AM - 11:00 AM | CMD17  | Court 6
11:00 AM - 11:30 AM | CMD18  | Court 15
11:00 AM - 11:30 AM | CMD19  | Court 16
11:00 AM - 11:30 AM | CMD20  | Court 17
11:00 AM - 11:30 AM | CMD21  | Court 17
11:00 AM - 11:30 AM | CMD22  | Court 11
11:00 AM - 11:30 AM | CMD23  | Court 12
11:00 AM - 11:30 AM | CMD25  | Court 13
11:00 AM - 11:30 AM | CMD26  | Court 14
11:00 AM - 11:30 AM | CMD27  | Court 1
11:00 AM - 11:30 AM | CMD29  | Court 2
11:00 AM - 11:30 AM | CMD30  | Court 3
11:00 AM - 11:30 AM | CMD31  | Court 4
12:30 PM - 01:00 PM | CMD33  | Court 15
12:30 PM - 01:00 PM | CMD34  | Court 16
12:30 PM - 01:00 PM | CMD35  | Court 17
12:30 PM - 01:00 PM | CMD36  | Court 17
12:30 PM - 01:00 PM | CMD37  | Court 14
12:30 PM - 01:00 PM | CMD38  | Court 1
12:30 PM - 01:00 PM | CMD39  | Court 2
12:30 PM - 01:00 PM | CMD40  | Court 3
12:30 PM - 01:00 PM | CMD41  | Court 4
12:30 PM - 01:00 PM | CMD42  | Court 5
12:30 PM - 01:00 PM | CMD43  | Court 6
12:30 PM - 01:00 PM | CMD44  | Court 7
12:30 PM - 01:00 PM | CMD45  | Court 8
12:30 PM - 01:00 PM | CMD46  | Court 9
12:30 PM - 01:00 PM | CMD47  | Court 10
01:00 PM - 01:30 PM | CMD48  | Court 15
01:30 PM - 02:00 PM | CMD49  | Court 9
01:30 PM - 02:00 PM | CMD50  | Court 10
02:00 PM - 02:30 PM | CMD51  | Court 15
02:00 PM - 02:30 PM | CMD52  | Court 16
02:00 PM - 02:30 PM | CMD53  | Court 17
02:00 PM - 02:30 PM | CMD54  | Court 17
02:00 PM - 02:30 PM | CMD55  | Court 11
02:00 PM - 02:30 PM | CMD56  | Court 12
02:50 PM - 03:20 PM | CMD57  | Court 8
03:00 PM - 03:30 PM | CMD58  | Court 15
03:00 PM - 03:30 PM | CMD59  | Court 16
03:00 PM - 03:30 PM | CMD60  | Court 17
03:00 PM - 03:10 PM | CMD65  | Court 17
03:00 PM - 03:10 PM | CMD67  | Court 11
03:00 PM - 03:10 PM | CMD69  | Court 12
03:00 PM - 03:10 PM | CMD71  | Court 13
03:00 PM - 03:10 PM | CMD72  | Court 14
03:00 PM - 03:10 PM | CMD73  | Court 1
03:10 PM - 03:20 PM | CMD74  | Court 17
03:10 PM - 03:20 PM | CMD76  | Court 11
03:10 PM - 03:20 PM | CMD78  | Court 12
03:10 PM - 03:20 PM | CMD80  | Court 13
03:10 PM - 03:20 PM | CMD82  | Court 14
03:10 PM - 03:20 PM | CMD84  | Court 1
03:10 PM - 03:20 PM | CMD86  | Court 9
03:10 PM - 03:20 PM | CMD91  | Court 10
03:20 PM - 03:30 PM | CMD93  | Court 17
03:20 PM - 03:30 PM | CMD95  | Court 11
03:50 PM - 04:00 PM | CMD96  | Court 12
03:50 PM - 04:00 PM | CMD97  | Court 13
03:50 PM - 04:00 PM | CMD98  | Court 14
03:50 PM - 04:00 PM | CMD99  | Court 1
03:50 PM - 04:00 PM | CMD100 | Court 2
03:50 PM - 04:00 PM | CMD101 | Court 3
03:50 PM - 04:00 PM | CMD102 | Court 4
03:50 PM - 04:00 PM | CMD103 | Court 5
04:10 PM - 04:40 PM | CMD61  | Court 14
04:10 PM - 04:40 PM | CMD62  | Court 2
04:10 PM - 04:20 PM | CMD104 | Court 3
04:10 PM - 04:20 PM | CMD105 | Court 6
04:10 PM - 04:20 PM | CMD106 | Court 7
04:10 PM - 04:20 PM | CMD107 | Court 8
04:30 PM - 04:40 PM | CMD108 | Court 10
04:40 PM - 04:50 PM | CMD109 | Court 17
04:50 PM - 05:20 PM | CMD63  | Court 16
05:00 PM - 05:30 PM | CMD110 | Court 11
