=== MATCH SCHEDULE FOR CMS ===
08:00 AM - 08:30 AM | CMS32  | Court 1
08:00 AM - 08:30 AM | CMS33  | Court 2
08:00 AM - 08:30 AM | CMS34  | Court 3
09:30 AM - 10:00 AM | CMS65  | Court 1
09:30 AM - 10:00 AM | CMS66  | Court 2
09:30 AM - 10:00 AM | CMS67  | Court 3
09:30 AM - 10:00 AM | CMS68  | Court 4
09:30 AM - 10:00 AM | CMS69  | Court 5
09:30 AM - 10:00 AM | CMS70  | Court 6
10:00 AM - 10:30 AM | CMS71  | Court 1
10:00 AM - 10:30 AM | CMS72  | Court 2
10:00 AM - 10:30 AM | CMS73  | Court 3
10:00 AM - 10:30 AM | CMS74  | Court 4
10:00 AM - 10:30 AM | CMS75  | Court 5
10:00 AM - 10:30 AM | CMS76  | Court 6
10:30 AM - 11:00 AM | CMS77  | Court 1
10:30 AM - 11:00 AM | CMS78  | Court 2
10:30 AM - 11:00 AM | CMS79  | Court 3
10:30 AM - 11:00 AM | CMS80  | Court 4
10:30 AM - 11:00 AM | CMS81  | Court 5
10:30 AM - 11:00 AM | CMS82  | Court 6
11:00 AM - 11:30 AM | CMS83  | Court 15
11:00 AM - 11:30 AM | CMS84  | Court 16
11:00 AM - 11:30 AM | CMS85  | Court 17
11:00 AM - 11:30 AM | CMS86  | Court 17
11:00 AM - 11:30 AM | CMS87  | Court 11
11:00 AM - 11:30 AM | CMS88  | Court 12
11:00 AM - 11:30 AM | CMS89  | Court 13
11:00 AM - 11:30 AM | CMS90  | Court 14
11:00 AM - 11:30 AM | CMS91  | Court 1
11:00 AM - 11:30 AM | CMS92  | Court 2
11:00 AM - 11:30 AM | CMS93  | Court 3
11:00 AM - 11:30 AM | CMS94  | Court 4
11:00 AM - 11:30 AM | CMS95  | Court 5
11:00 AM - 11:30 AM | CMS96  | Court 6
01:30 PM - 02:00 PM | CMS97  | Court 6
01:30 PM - 02:00 PM | CMS98  | Court 7
01:30 PM - 02:00 PM | CMS99  | Court 8
01:30 PM - 02:00 PM | CMS100 | Court 9
01:30 PM - 02:00 PM | CMS101 | Court 10
02:00 PM - 02:30 PM | CMS102 | Court 15
02:00 PM - 02:30 PM | CMS103 | Court 16
02:00 PM - 02:30 PM | CMS104 | Court 17
02:00 PM - 02:30 PM | CMS105 | Court 17
02:00 PM - 02:30 PM | CMS106 | Court 11
02:00 PM - 02:30 PM | CMS107 | Court 12
02:00 PM - 02:30 PM | CMS108 | Court 13
02:00 PM - 02:30 PM | CMS109 | Court 14
02:00 PM - 02:30 PM | CMS110 | Court 1
02:00 PM - 02:30 PM | CMS111 | Court 2
02:00 PM - 02:30 PM | CMS112 | Court 3
04:00 PM - 04:30 PM | CMS113 | Court 6
04:00 PM - 04:30 PM | CMS114 | Court 7
04:00 PM - 04:30 PM | CMS115 | Court 8
04:00 PM - 04:30 PM | CMS116 | Court 9
04:00 PM - 04:30 PM | CMS117 | Court 10
04:30 PM - 05:00 PM | CMS118 | Court 15
04:30 PM - 05:00 PM | CMS119 | Court 16
04:30 PM - 05:00 PM | CMS120 | Court 17
06:00 PM - 06:10 PM | CMS144 | Court 15
06:00 PM - 06:10 PM | CMS175 | Court 16
06:10 PM - 06:40 PM | CMS121 | Court 17
06:10 PM - 06:40 PM | CMS122 | Court 4
06:10 PM - 06:40 PM | CMS123 | Court 5
06:10 PM - 06:40 PM | CMS124 | Court 6
06:10 PM - 06:20 PM | CMS192 | Court 7
06:10 PM - 06:20 PM | CMS193 | Court 8
06:10 PM - 06:20 PM | CMS194 | Court 9
06:20 PM - 06:30 PM | CMS195 | Court 7
06:20 PM - 06:30 PM | CMS196 | Court 8
06:20 PM - 06:30 PM | CMS197 | Court 9
06:30 PM - 06:40 PM | CMS198 | Court 11
06:30 PM - 06:40 PM | CMS199 | Court 12
06:30 PM - 06:40 PM | CMS200 | Court 13
06:30 PM - 06:40 PM | CMS201 | Court 14
06:30 PM - 06:40 PM | CMS202 | Court 1
06:30 PM - 06:40 PM | CMS203 | Court 2
06:30 PM - 06:40 PM | CMS204 | Court 3
06:30 PM - 06:40 PM | CMS205 | Court 7
06:30 PM - 06:40 PM | CMS206 | Court 8
06:30 PM - 06:40 PM | CMS207 | Court 9
08:00 PM - 08:10 PM | CMS208 | Court 14
08:00 PM - 08:10 PM | CMS209 | Court 1
08:00 PM - 08:10 PM | CMS210 | Court 2
08:00 PM - 08:10 PM | CMS211 | Court 3
08:00 PM - 08:10 PM | CMS212 | Court 8
08:00 PM - 08:10 PM | CMS213 | Court 9
08:00 PM - 08:10 PM | CMS214 | Court 10
08:10 PM - 08:20 PM | CMS215 | Court 15
08:40 PM - 09:10 PM | CMS125 | Court 17
08:40 PM - 09:10 PM | CMS126 | Court 11
08:40 PM - 08:50 PM | CMS216 | Court 12
08:40 PM - 08:50 PM | CMS217 | Court 13
08:40 PM - 08:50 PM | CMS218 | Court 14
08:40 PM - 08:50 PM | CMS219 | Court 1
09:30 PM - 09:40 PM | CMS220 | Court 13
09:30 PM - 09:40 PM | CMS221 | Court 14
09:40 PM - 10:10 PM | CMS127 | Court 9
09:50 PM - 10:20 PM | CMS222 | Court 13
