=== MATCH SCHEDULE FOR CWD ===
01:00 PM - 01:30 PM | CWD2   | Court 16
01:00 PM - 01:30 PM | CWD4   | Court 17
01:00 PM - 01:30 PM | CWD6   | Court 17
01:00 PM - 01:30 PM | CWD8   | Court 11
01:00 PM - 01:30 PM | CWD9   | Court 12
01:00 PM - 01:30 PM | CWD11  | Court 13
01:00 PM - 01:30 PM | CWD13  | Court 14
01:00 PM - 01:30 PM | CWD15  | Court 2
02:00 PM - 02:30 PM | CWD17  | Court 13
02:00 PM - 02:30 PM | CWD18  | Court 14
02:00 PM - 02:30 PM | CWD19  | Court 9
02:00 PM - 02:30 PM | CWD20  | Court 10
02:30 PM - 03:00 PM | CWD21  | Court 15
02:30 PM - 03:00 PM | CWD22  | Court 16
02:30 PM - 03:00 PM | CWD23  | Court 17
02:30 PM - 03:00 PM | CWD24  | Court 17
03:20 PM - 03:50 PM | CWD25  | Court 12
03:20 PM - 03:50 PM | CWD26  | Court 13
03:20 PM - 03:50 PM | CWD27  | Court 14
03:20 PM - 03:50 PM | CWD28  | Court 5
03:50 PM - 04:00 PM | CWD40  | Court 7
03:50 PM - 04:00 PM | CWD41  | Court 8
03:50 PM - 04:00 PM | CWD42  | Court 9
03:50 PM - 04:00 PM | CWD43  | Court 10
04:00 PM - 04:10 PM | CWD44  | Court 15
04:00 PM - 04:10 PM | CWD45  | Court 16
04:00 PM - 04:10 PM | CWD46  | Court 17
04:00 PM - 04:10 PM | CWD47  | Court 17
04:20 PM - 04:50 PM | CWD29  | Court 15
04:20 PM - 04:50 PM | CWD30  | Court 16
04:20 PM - 04:30 PM | CWD48  | Court 17
04:20 PM - 04:30 PM | CWD49  | Court 17
04:30 PM - 04:40 PM | CWD50  | Court 17
04:30 PM - 04:40 PM | CWD51  | Court 17
04:40 PM - 04:50 PM | CWD52  | Court 17
04:50 PM - 05:00 PM | CWD53  | Court 15
05:00 PM - 05:30 PM | CWD31  | Court 15
05:10 PM - 05:40 PM | CWD54  | Court 14
