=== MATCH SCHEDULE FOR CXD ===
12:00 noon - 12:30 PM | CXD2   | Court 3
12:00 noon - 12:30 PM | CXD4   | Court 4
12:00 noon - 12:30 PM | CXD6   | Court 5
12:00 noon - 12:30 PM | CXD8   | Court 6
12:00 noon - 12:30 PM | CXD10  | Court 7
12:00 noon - 12:30 PM | CXD12  | Court 8
12:00 noon - 12:30 PM | CXD14  | Court 9
12:00 noon - 12:30 PM | CXD15  | Court 10
12:30 PM - 01:00 PM | CXD16  | Court 15
12:30 PM - 01:00 PM | CXD17  | Court 16
12:30 PM - 01:00 PM | CXD18  | Court 17
12:30 PM - 01:00 PM | CXD19  | Court 17
12:30 PM - 01:00 PM | CXD21  | Court 11
12:30 PM - 01:00 PM | CXD23  | Court 12
12:30 PM - 01:00 PM | CXD25  | Court 13
12:30 PM - 01:00 PM | CXD26  | Court 14
12:30 PM - 01:00 PM | CXD27  | Court 1
12:30 PM - 01:00 PM | CXD29  | Court 2
12:30 PM - 01:00 PM | CXD31  | Court 3
03:00 PM - 03:30 PM | CXD33  | Court 17
03:00 PM - 03:30 PM | CXD34  | Court 17
03:00 PM - 03:30 PM | CXD35  | Court 11
03:00 PM - 03:30 PM | CXD36  | Court 12
03:00 PM - 03:30 PM | CXD37  | Court 13
03:00 PM - 03:30 PM | CXD38  | Court 14
03:00 PM - 03:30 PM | CXD39  | Court 1
03:00 PM - 03:30 PM | CXD40  | Court 2
03:00 PM - 03:30 PM | CXD41  | Court 3
03:00 PM - 03:30 PM | CXD42  | Court 4
03:00 PM - 03:30 PM | CXD43  | Court 5
03:00 PM - 03:30 PM | CXD44  | Court 6
03:00 PM - 03:30 PM | CXD45  | Court 7
03:00 PM - 03:30 PM | CXD46  | Court 8
03:00 PM - 03:30 PM | CXD47  | Court 9
03:00 PM - 03:30 PM | CXD48  | Court 10
05:00 PM - 05:30 PM | CXD49  | Court 14
05:00 PM - 05:30 PM | CXD50  | Court 1
05:00 PM - 05:30 PM | CXD51  | Court 2
05:00 PM - 05:30 PM | CXD52  | Court 3
05:00 PM - 05:30 PM | CXD53  | Court 4
05:00 PM - 05:30 PM | CXD54  | Court 5
05:00 PM - 05:30 PM | CXD55  | Court 6
05:00 PM - 05:30 PM | CXD56  | Court 7
07:10 PM - 07:40 PM | CXD57  | Court 17
07:10 PM - 07:40 PM | CXD58  | Court 11
07:10 PM - 07:40 PM | CXD59  | Court 12
07:10 PM - 07:40 PM | CXD60  | Court 13
07:10 PM - 07:20 PM | CXD71  | Court 14
07:10 PM - 07:20 PM | CXD72  | Court 1
07:10 PM - 07:20 PM | CXD76  | Court 2
07:10 PM - 07:20 PM | CXD80  | Court 3
07:10 PM - 07:20 PM | CXD81  | Court 4
07:10 PM - 07:20 PM | CXD82  | Court 5
07:10 PM - 07:20 PM | CXD83  | Court 6
07:10 PM - 07:20 PM | CXD84  | Court 7
07:10 PM - 07:20 PM | CXD85  | Court 8
07:10 PM - 07:20 PM | CXD86  | Court 9
07:10 PM - 07:20 PM | CXD89  | Court 10
07:20 PM - 07:30 PM | CXD90  | Court 15
07:20 PM - 07:30 PM | CXD91  | Court 16
07:20 PM - 07:30 PM | CXD93  | Court 17
07:20 PM - 07:30 PM | CXD94  | Court 14
07:20 PM - 07:30 PM | CXD95  | Court 1
08:20 PM - 08:30 PM | CXD96  | Court 2
08:20 PM - 08:30 PM | CXD97  | Court 3
08:20 PM - 08:30 PM | CXD98  | Court 4
08:20 PM - 08:30 PM | CXD99  | Court 5
08:20 PM - 08:30 PM | CXD100 | Court 6
08:20 PM - 08:30 PM | CXD101 | Court 7
08:20 PM - 08:30 PM | CXD102 | Court 8
08:20 PM - 08:30 PM | CXD103 | Court 9
09:00 PM - 09:30 PM | CXD61  | Court 16
09:00 PM - 09:30 PM | CXD62  | Court 17
09:00 PM - 09:10 PM | CXD104 | Court 14
09:00 PM - 09:10 PM | CXD105 | Court 5
09:00 PM - 09:10 PM | CXD106 | Court 6
09:00 PM - 09:10 PM | CXD107 | Court 7
09:40 PM - 09:50 PM | CXD108 | Court 17
09:40 PM - 09:50 PM | CXD109 | Court 17
09:50 PM - 10:20 PM | CXD63  | Court 16
10:10 PM - 10:40 PM | CXD110 | Court 8
