=== MATCH SCHEDULE FOR DMD ===
08:00 AM - 08:30 AM | DMD2   | Court 1
08:00 AM - 08:30 AM | DMD4   | Court 2
08:00 AM - 08:30 AM | DMD6   | Court 3
08:00 AM - 08:30 AM | DMD7   | Court 4
08:00 AM - 08:30 AM | DMD8   | Court 5
08:00 AM - 08:30 AM | DMD10  | Court 6
08:30 AM - 09:00 AM | DMD11  | Court 1
08:30 AM - 09:00 AM | DMD12  | Court 2
08:30 AM - 09:00 AM | DMD14  | Court 3
08:30 AM - 09:00 AM | DMD15  | Court 4
08:30 AM - 09:00 AM | DMD16  | Court 5
08:30 AM - 09:00 AM | DMD17  | Court 6
09:00 AM - 09:30 AM | DMD18  | Court 1
09:00 AM - 09:30 AM | DMD19  | Court 2
09:00 AM - 09:30 AM | DMD21  | Court 3
09:00 AM - 09:30 AM | DMD22  | Court 4
09:00 AM - 09:30 AM | DMD23  | Court 5
09:00 AM - 09:30 AM | DMD25  | Court 6
09:30 AM - 10:00 AM | DMD26  | Court 1
09:30 AM - 10:00 AM | DMD27  | Court 2
09:30 AM - 10:00 AM | DMD29  | Court 3
09:30 AM - 10:00 AM | DMD30  | Court 4
09:30 AM - 10:00 AM | DMD31  | Court 5
11:00 AM - 11:30 AM | DMD33  | Court 5
11:00 AM - 11:30 AM | DMD34  | Court 6
11:00 AM - 11:30 AM | DMD35  | Court 7
11:00 AM - 11:30 AM | DMD36  | Court 8
11:00 AM - 11:30 AM | DMD37  | Court 9
11:00 AM - 11:30 AM | DMD38  | Court 10
11:30 AM - 12:00 noon | DMD39  | Court 15
11:30 AM - 12:00 noon | DMD40  | Court 16
11:30 AM - 12:00 noon | DMD41  | Court 17
11:30 AM - 12:00 noon | DMD42  | Court 17
11:30 AM - 12:00 noon | DMD43  | Court 11
11:30 AM - 12:00 noon | DMD44  | Court 12
11:30 AM - 12:00 noon | DMD45  | Court 13
11:30 AM - 12:00 noon | DMD46  | Court 14
11:30 AM - 12:00 noon | DMD47  | Court 1
11:30 AM - 12:00 noon | DMD48  | Court 2
01:00 PM - 01:30 PM | DMD49  | Court 3
01:00 PM - 01:30 PM | DMD50  | Court 4
01:00 PM - 01:30 PM | DMD51  | Court 5
01:00 PM - 01:30 PM | DMD52  | Court 6
01:00 PM - 01:30 PM | DMD53  | Court 7
01:00 PM - 01:30 PM | DMD54  | Court 8
01:00 PM - 01:30 PM | DMD55  | Court 9
01:00 PM - 01:30 PM | DMD56  | Court 10
02:30 PM - 03:00 PM | DMD57  | Court 11
02:30 PM - 03:00 PM | DMD58  | Court 12
02:30 PM - 03:00 PM | DMD59  | Court 13
02:30 PM - 03:00 PM | DMD60  | Court 14
02:30 PM - 02:40 PM | DMD67  | Court 2
02:30 PM - 02:40 PM | DMD69  | Court 3
02:30 PM - 02:40 PM | DMD71  | Court 4
02:30 PM - 02:40 PM | DMD72  | Court 5
02:30 PM - 02:40 PM | DMD74  | Court 6
02:30 PM - 02:40 PM | DMD76  | Court 7
02:30 PM - 02:40 PM | DMD78  | Court 8
02:30 PM - 02:40 PM | DMD80  | Court 9
02:30 PM - 02:40 PM | DMD81  | Court 10
02:40 PM - 02:50 PM | DMD82  | Court 2
02:40 PM - 02:50 PM | DMD84  | Court 3
02:40 PM - 02:50 PM | DMD86  | Court 4
02:40 PM - 02:50 PM | DMD89  | Court 5
02:40 PM - 02:50 PM | DMD91  | Court 6
02:40 PM - 02:50 PM | DMD93  | Court 7
02:40 PM - 02:50 PM | DMD95  | Court 8
03:20 PM - 03:30 PM | DMD96  | Court 8
03:20 PM - 03:30 PM | DMD97  | Court 9
03:20 PM - 03:30 PM | DMD98  | Court 10
03:30 PM - 03:40 PM | DMD99  | Court 15
03:30 PM - 03:40 PM | DMD100 | Court 16
03:30 PM - 03:40 PM | DMD101 | Court 17
03:30 PM - 03:40 PM | DMD102 | Court 17
03:30 PM - 03:40 PM | DMD103 | Court 11
04:00 PM - 04:30 PM | DMD61  | Court 11
04:00 PM - 04:30 PM | DMD62  | Court 12
04:00 PM - 04:10 PM | DMD104 | Court 13
04:00 PM - 04:10 PM | DMD105 | Court 14
04:00 PM - 04:10 PM | DMD106 | Court 2
04:00 PM - 04:10 PM | DMD107 | Court 3
04:30 PM - 04:40 PM | DMD108 | Court 12
04:30 PM - 04:40 PM | DMD109 | Court 4
04:40 PM - 05:10 PM | DMD63  | Court 14
04:50 PM - 05:20 PM | DMD110 | Court 12
