=== MATCH SCHEDULE FOR DMS ===
08:00 AM - 08:30 AM | DMS26  | Court 4
08:00 AM - 08:30 AM | DMS27  | Court 5
08:00 AM - 08:30 AM | DMS28  | Court 6
08:30 AM - 09:00 AM | DMS29  | Court 1
08:30 AM - 09:00 AM | DMS30  | Court 2
08:30 AM - 09:00 AM | DMS31  | Court 3
08:30 AM - 09:00 AM | DMS32  | Court 4
08:30 AM - 09:00 AM | DMS33  | Court 5
08:30 AM - 09:00 AM | DMS34  | Court 6
09:00 AM - 09:30 AM | DMS35  | Court 1
09:00 AM - 09:30 AM | DMS36  | Court 2
09:00 AM - 09:30 AM | DMS37  | Court 3
09:00 AM - 09:30 AM | DMS38  | Court 4
09:00 AM - 09:30 AM | DMS39  | Court 5
09:00 AM - 09:30 AM | DMS40  | Court 6
11:00 AM - 11:30 AM | DMS65  | Court 7
11:00 AM - 11:30 AM | DMS66  | Court 8
11:00 AM - 11:30 AM | DMS67  | Court 9
11:00 AM - 11:30 AM | DMS68  | Court 10
11:30 AM - 12:00 noon | DMS69  | Court 15
11:30 AM - 12:00 noon | DMS70  | Court 16
11:30 AM - 12:00 noon | DMS71  | Court 17
11:30 AM - 12:00 noon | DMS72  | Court 17
11:30 AM - 12:00 noon | DMS73  | Court 11
11:30 AM - 12:00 noon | DMS74  | Court 12
11:30 AM - 12:00 noon | DMS75  | Court 13
11:30 AM - 12:00 noon | DMS76  | Court 14
11:30 AM - 12:00 noon | DMS77  | Court 1
11:30 AM - 12:00 noon | DMS78  | Court 2
11:30 AM - 12:00 noon | DMS79  | Court 3
11:30 AM - 12:00 noon | DMS80  | Court 4
11:30 AM - 12:00 noon | DMS81  | Court 5
11:30 AM - 12:00 noon | DMS82  | Court 6
11:30 AM - 12:00 noon | DMS83  | Court 7
11:30 AM - 12:00 noon | DMS84  | Court 8
11:30 AM - 12:00 noon | DMS85  | Court 9
11:30 AM - 12:00 noon | DMS86  | Court 10
12:00 noon - 12:30 PM | DMS87  | Court 15
12:00 noon - 12:30 PM | DMS88  | Court 16
12:00 noon - 12:30 PM | DMS89  | Court 17
12:00 noon - 12:30 PM | DMS90  | Court 17
12:00 noon - 12:30 PM | DMS91  | Court 11
12:00 noon - 12:30 PM | DMS92  | Court 12
12:00 noon - 12:30 PM | DMS93  | Court 13
12:00 noon - 12:30 PM | DMS94  | Court 14
12:00 noon - 12:30 PM | DMS95  | Court 1
12:00 noon - 12:30 PM | DMS96  | Court 2
02:30 PM - 03:00 PM | DMS97  | Court 15
02:30 PM - 03:00 PM | DMS98  | Court 16
02:30 PM - 03:00 PM | DMS99  | Court 17
02:30 PM - 03:00 PM | DMS100 | Court 17
02:30 PM - 03:00 PM | DMS101 | Court 1
02:30 PM - 03:00 PM | DMS102 | Court 2
02:30 PM - 03:00 PM | DMS103 | Court 3
02:30 PM - 03:00 PM | DMS104 | Court 4
02:30 PM - 03:00 PM | DMS105 | Court 5
02:30 PM - 03:00 PM | DMS106 | Court 6
02:30 PM - 03:00 PM | DMS107 | Court 7
02:30 PM - 03:00 PM | DMS108 | Court 8
02:30 PM - 03:00 PM | DMS109 | Court 9
02:30 PM - 03:00 PM | DMS110 | Court 10
03:00 PM - 03:30 PM | DMS111 | Court 15
03:00 PM - 03:30 PM | DMS112 | Court 16
04:30 PM - 05:00 PM | DMS113 | Court 10
05:00 PM - 05:30 PM | DMS114 | Court 15
05:00 PM - 05:30 PM | DMS115 | Court 16
05:00 PM - 05:30 PM | DMS116 | Court 17
05:00 PM - 05:30 PM | DMS117 | Court 17
05:00 PM - 05:30 PM | DMS118 | Court 11
05:00 PM - 05:30 PM | DMS119 | Court 12
05:00 PM - 05:30 PM | DMS120 | Court 13
06:00 PM - 06:10 PM | DMS141 | Court 17
06:00 PM - 06:10 PM | DMS142 | Court 17
06:00 PM - 06:10 PM | DMS143 | Court 4
06:00 PM - 06:10 PM | DMS144 | Court 5
06:00 PM - 06:10 PM | DMS145 | Court 6
06:00 PM - 06:10 PM | DMS146 | Court 7
06:00 PM - 06:10 PM | DMS147 | Court 8
06:00 PM - 06:10 PM | DMS172 | Court 9
06:40 PM - 07:10 PM | DMS121 | Court 17
06:40 PM - 07:10 PM | DMS122 | Court 3
06:40 PM - 07:10 PM | DMS123 | Court 4
06:40 PM - 07:10 PM | DMS124 | Court 5
06:40 PM - 06:50 PM | DMS192 | Court 6
06:40 PM - 06:50 PM | DMS193 | Court 7
06:40 PM - 06:50 PM | DMS194 | Court 8
06:40 PM - 06:50 PM | DMS195 | Court 9
06:50 PM - 07:00 PM | DMS196 | Court 6
06:50 PM - 07:00 PM | DMS197 | Court 7
06:50 PM - 07:00 PM | DMS198 | Court 8
06:50 PM - 07:00 PM | DMS199 | Court 9
07:00 PM - 07:10 PM | DMS200 | Court 6
07:00 PM - 07:10 PM | DMS201 | Court 7
07:00 PM - 07:10 PM | DMS202 | Court 8
07:00 PM - 07:10 PM | DMS203 | Court 9
07:00 PM - 07:10 PM | DMS204 | Court 10
07:10 PM - 07:20 PM | DMS205 | Court 15
07:10 PM - 07:20 PM | DMS206 | Court 16
07:10 PM - 07:20 PM | DMS207 | Court 17
08:10 PM - 08:20 PM | DMS208 | Court 9
08:10 PM - 08:20 PM | DMS209 | Court 10
08:20 PM - 08:30 PM | DMS210 | Court 15
08:20 PM - 08:30 PM | DMS211 | Court 16
08:20 PM - 08:30 PM | DMS212 | Court 17
08:20 PM - 08:30 PM | DMS213 | Court 17
08:20 PM - 08:30 PM | DMS214 | Court 11
08:20 PM - 08:30 PM | DMS215 | Court 14
08:50 PM - 09:20 PM | DMS125 | Court 1
08:50 PM - 09:20 PM | DMS126 | Court 4
08:50 PM - 09:00 PM | DMS216 | Court 5
08:50 PM - 09:00 PM | DMS217 | Court 6
08:50 PM - 09:00 PM | DMS218 | Court 7
09:00 PM - 09:10 PM | DMS219 | Court 15
09:40 PM - 09:50 PM | DMS220 | Court 15
09:40 PM - 09:50 PM | DMS221 | Court 16
09:50 PM - 10:20 PM | DMS127 | Court 15
10:10 PM - 10:40 PM | DMS222 | Court 7
