=== MATCH SCHEDULE FOR DWD ===
11:30 AM - 12:00 noon | DWD1   | Court 3
11:30 AM - 12:00 noon | DWD2   | Court 4
11:30 AM - 12:00 noon | DWD3   | Court 5
11:30 AM - 12:00 noon | DWD4   | Court 6
11:30 AM - 12:00 noon | DWD5   | Court 7
11:30 AM - 12:00 noon | DWD6   | Court 8
11:30 AM - 12:00 noon | DWD7   | Court 9
11:30 AM - 12:00 noon | DWD8   | Court 10
12:00 noon - 12:30 PM | DWD9   | Court 15
12:00 noon - 12:30 PM | DWD10  | Court 16
12:00 noon - 12:30 PM | DWD11  | Court 17
12:00 noon - 12:30 PM | DWD12  | Court 17
12:00 noon - 12:30 PM | DWD13  | Court 11
12:00 noon - 12:30 PM | DWD14  | Court 12
12:00 noon - 12:30 PM | DWD15  | Court 13
12:00 noon - 12:30 PM | DWD16  | Court 14
01:30 PM - 02:00 PM | DWD17  | Court 15
01:30 PM - 02:00 PM | DWD18  | Court 16
01:30 PM - 02:00 PM | DWD19  | Court 17
01:30 PM - 02:00 PM | DWD20  | Court 17
01:30 PM - 02:00 PM | DWD21  | Court 11
01:30 PM - 02:00 PM | DWD22  | Court 12
01:30 PM - 02:00 PM | DWD23  | Court 13
01:30 PM - 02:00 PM | DWD24  | Court 14
02:40 PM - 03:10 PM | DWD25  | Court 9
02:40 PM - 03:10 PM | DWD26  | Court 10
02:50 PM - 03:20 PM | DWD27  | Court 2
02:50 PM - 03:20 PM | DWD28  | Court 3
03:30 PM - 03:40 PM | DWD32  | Court 8
03:30 PM - 03:40 PM | DWD33  | Court 9
03:30 PM - 03:40 PM | DWD34  | Court 10
03:40 PM - 03:50 PM | DWD35  | Court 15
03:40 PM - 03:50 PM | DWD36  | Court 16
03:40 PM - 03:50 PM | DWD37  | Court 17
03:40 PM - 03:50 PM | DWD38  | Court 17
03:40 PM - 03:50 PM | DWD39  | Court 11
04:00 PM - 04:30 PM | DWD29  | Court 4
04:00 PM - 04:30 PM | DWD30  | Court 5
04:00 PM - 04:10 PM | DWD48  | Court 6
04:00 PM - 04:10 PM | DWD49  | Court 7
04:00 PM - 04:10 PM | DWD50  | Court 8
04:00 PM - 04:10 PM | DWD51  | Court 9
04:30 PM - 04:40 PM | DWD52  | Court 5
04:30 PM - 04:40 PM | DWD53  | Court 6
04:40 PM - 05:10 PM | DWD31  | Court 2
04:50 PM - 05:20 PM | DWD54  | Court 13
