=== MATCH SCHEDULE FOR DWS ===
01:30 PM - 02:00 PM | DWS2   | Court 17
01:30 PM - 02:00 PM | DWS4   | Court 17
01:30 PM - 02:00 PM | DWS6   | Court 11
01:30 PM - 02:00 PM | DWS7   | Court 12
01:30 PM - 02:00 PM | DWS8   | Court 13
01:30 PM - 02:00 PM | DWS9   | Court 14
01:30 PM - 02:00 PM | DWS10  | Court 1
01:30 PM - 02:00 PM | DWS11  | Court 2
01:30 PM - 02:00 PM | DWS13  | Court 3
01:30 PM - 02:00 PM | DWS14  | Court 4
01:30 PM - 02:00 PM | DWS15  | Court 5
04:00 PM - 04:30 PM | DWS17  | Court 15
04:00 PM - 04:30 PM | DWS18  | Court 16
04:00 PM - 04:30 PM | DWS19  | Court 17
04:00 PM - 04:30 PM | DWS20  | Court 17
04:00 PM - 04:30 PM | DWS21  | Court 2
04:00 PM - 04:30 PM | DWS22  | Court 3
04:00 PM - 04:30 PM | DWS23  | Court 4
04:00 PM - 04:30 PM | DWS24  | Court 5
06:00 PM - 06:30 PM | DWS25  | Court 10
06:10 PM - 06:40 PM | DWS26  | Court 15
06:10 PM - 06:40 PM | DWS27  | Court 16
06:10 PM - 06:40 PM | DWS28  | Court 17
07:50 PM - 08:00 PM | DWS35  | Court 8
07:50 PM - 08:00 PM | DWS36  | Court 9
07:50 PM - 08:00 PM | DWS38  | Court 10
08:00 PM - 08:10 PM | DWS40  | Court 15
08:00 PM - 08:10 PM | DWS41  | Court 16
08:00 PM - 08:10 PM | DWS42  | Court 17
08:00 PM - 08:10 PM | DWS45  | Court 17
08:00 PM - 08:10 PM | DWS47  | Court 11
08:30 PM - 09:00 PM | DWS29  | Court 8
08:30 PM - 09:00 PM | DWS30  | Court 9
08:30 PM - 08:40 PM | DWS48  | Court 10
08:40 PM - 08:50 PM | DWS49  | Court 15
08:40 PM - 08:50 PM | DWS50  | Court 16
08:40 PM - 08:50 PM | DWS51  | Court 17
09:30 PM - 09:40 PM | DWS52  | Court 16
09:30 PM - 09:40 PM | DWS53  | Court 17
09:40 PM - 10:10 PM | DWS31  | Court 7
09:50 PM - 10:20 PM | DWS54  | Court 11
