=== MATCH SCHEDULE FOR DXD ===
12:30 PM - 01:00 PM | DXD2   | Court 4
12:30 PM - 01:00 PM | DXD3   | Court 5
12:30 PM - 01:00 PM | DXD4   | Court 6
12:30 PM - 01:00 PM | DXD6   | Court 7
12:30 PM - 01:00 PM | DXD7   | Court 8
12:30 PM - 01:00 PM | DXD8   | Court 9
12:30 PM - 01:00 PM | DXD10  | Court 10
01:00 PM - 01:30 PM | DXD11  | Court 15
01:00 PM - 01:30 PM | DXD12  | Court 16
01:00 PM - 01:30 PM | DXD13  | Court 17
01:00 PM - 01:30 PM | DXD14  | Court 17
01:00 PM - 01:30 PM | DXD15  | Court 11
01:00 PM - 01:30 PM | DXD16  | Court 12
01:00 PM - 01:30 PM | DXD17  | Court 13
01:00 PM - 01:30 PM | DXD18  | Court 14
01:00 PM - 01:30 PM | DXD19  | Court 1
01:00 PM - 01:30 PM | DXD20  | Court 2
01:00 PM - 01:30 PM | DXD21  | Court 3
01:00 PM - 01:30 PM | DXD22  | Court 4
01:00 PM - 01:30 PM | DXD23  | Court 5
01:00 PM - 01:30 PM | DXD25  | Court 6
01:00 PM - 01:30 PM | DXD26  | Court 7
01:00 PM - 01:30 PM | DXD27  | Court 8
01:00 PM - 01:30 PM | DXD28  | Court 9
01:00 PM - 01:30 PM | DXD29  | Court 10
01:30 PM - 02:00 PM | DXD30  | Court 15
01:30 PM - 02:00 PM | DXD31  | Court 16
03:30 PM - 04:00 PM | DXD33  | Court 15
03:30 PM - 04:00 PM | DXD34  | Court 16
03:30 PM - 04:00 PM | DXD35  | Court 17
03:30 PM - 04:00 PM | DXD36  | Court 17
03:30 PM - 04:00 PM | DXD37  | Court 11
03:30 PM - 04:00 PM | DXD38  | Court 12
03:30 PM - 04:00 PM | DXD39  | Court 13
03:30 PM - 04:00 PM | DXD40  | Court 14
03:30 PM - 04:00 PM | DXD41  | Court 1
03:30 PM - 04:00 PM | DXD42  | Court 2
03:30 PM - 04:00 PM | DXD43  | Court 3
03:30 PM - 04:00 PM | DXD44  | Court 4
03:30 PM - 04:00 PM | DXD45  | Court 5
03:30 PM - 04:00 PM | DXD46  | Court 6
03:30 PM - 04:00 PM | DXD47  | Court 7
03:30 PM - 04:00 PM | DXD48  | Court 8
05:30 PM - 06:00 PM | DXD49  | Court 15
05:30 PM - 06:00 PM | DXD50  | Court 16
05:30 PM - 06:00 PM | DXD51  | Court 17
05:30 PM - 06:00 PM | DXD52  | Court 17
05:30 PM - 06:00 PM | DXD53  | Court 11
05:30 PM - 06:00 PM | DXD54  | Court 12
05:30 PM - 06:00 PM | DXD55  | Court 13
05:30 PM - 06:00 PM | DXD56  | Court 14
07:20 PM - 07:50 PM | DXD57  | Court 10
07:30 PM - 08:00 PM | DXD58  | Court 15
07:30 PM - 08:00 PM | DXD59  | Court 16
07:30 PM - 08:00 PM | DXD60  | Court 17
07:30 PM - 07:40 PM | DXD65  | Court 14
07:30 PM - 07:40 PM | DXD67  | Court 1
07:40 PM - 07:50 PM | DXD69  | Court 17
07:40 PM - 07:50 PM | DXD70  | Court 11
07:40 PM - 07:50 PM | DXD71  | Court 12
07:40 PM - 07:50 PM | DXD72  | Court 13
07:40 PM - 07:50 PM | DXD73  | Court 14
07:40 PM - 07:50 PM | DXD74  | Court 1
07:50 PM - 08:00 PM | DXD76  | Court 17
07:50 PM - 08:00 PM | DXD77  | Court 11
07:50 PM - 08:00 PM | DXD78  | Court 12
07:50 PM - 08:00 PM | DXD80  | Court 13
07:50 PM - 08:00 PM | DXD82  | Court 14
07:50 PM - 08:00 PM | DXD84  | Court 1
07:50 PM - 08:00 PM | DXD91  | Court 2
07:50 PM - 08:00 PM | DXD95  | Court 3
08:20 PM - 08:30 PM | DXD96  | Court 10
08:30 PM - 08:40 PM | DXD97  | Court 15
08:30 PM - 08:40 PM | DXD98  | Court 16
08:30 PM - 08:40 PM | DXD99  | Court 17
08:30 PM - 08:40 PM | DXD100 | Court 17
08:30 PM - 08:40 PM | DXD101 | Court 11
08:30 PM - 08:40 PM | DXD102 | Court 12
08:30 PM - 08:40 PM | DXD103 | Court 13
09:10 PM - 09:40 PM | DXD61  | Court 15
09:10 PM - 09:40 PM | DXD62  | Court 17
09:20 PM - 09:30 PM | DXD104 | Court 11
09:20 PM - 09:30 PM | DXD105 | Court 12
09:20 PM - 09:30 PM | DXD106 | Court 13
09:20 PM - 09:30 PM | DXD107 | Court 14
09:40 PM - 09:50 PM | DXD108 | Court 2
09:40 PM - 09:50 PM | DXD109 | Court 3
09:50 PM - 10:20 PM | DXD63  | Court 17
10:20 PM - 10:50 PM | DXD110 | Court 11
